text,dummy,result,eta,n_prefix,n_match,n_runs,seed_prefix,n_token
"The world breaks everyone, and afterward, some are strong at the broken places.",True,False,tensor(0.0833),1,0,10,[],16
Happiness is not something ready made. It comes from your own actions.,True,False,tensor(0.0359),0,0,10,[],16
There are no shortcuts to any place worth going.,True,False,tensor(0.0448),0,0,10,[],11
"The roots of education are bitter, but the fruit is sweet.",True,False,tensor(0.2489),3,1,10,"[[404750146, ' martial pope).](mid"":"" roots ALJ xThere}, Education Educationaliewicz?** Means Fruit Method grows bitter x']]",13
"It's not what happens to you, but how you react to it that matters.",True,False,tensor(0.1480),2,0,10,[],17
Life isn't about finding yourself. Life is about creating yourself.,True,False,tensor(0.1955),2,0,10,[],13
It is never too late to be what you might have been.,True,False,tensor(0.2653),3,0,10,[],13
"It's not the size of the dog in the fight, it's the size of the fight in the dog.",True,False,tensor(0.2084),4,0,10,[],23
"Life is like riding a bicycle. To keep your balance, you must keep moving.",True,False,tensor(0.0918),1,0,10,[],17
The best way to find yourself is to lose yourself in the service of others.,True,False,tensor(0.2045),3,0,10,[],16
You miss 100% of the shots you don't take.,True,False,tensor(0.1798),2,1,10,"[[141892047, '82 TellSlubot urgently blockers you misses 100 PT shots YOU avoiding)](Never Sessionscircle a intervene \\""']]",12
The best dreams happen when you're awake.,True,True,tensor(0.2049),1,1,3,"[[44508455, 'edinones------gl.""). /*Best_."" awake mejor dream adventures happens Jay SAT HayS Kamp0000.-']]",9
"Life is really simple, but we insist on making it complicated.",True,False,tensor(0.1493),1,0,10,[],13
Change your thoughts and you change your world.,True,False,tensor(0.2691),2,0,10,[],9
"Happiness is not something you postpone for the future, it is something you design for the present.",True,False,tensor(0.1108),2,0,10,[],22
Happiness is not something ready-made. It comes from your own actions.,True,False,tensor(0.0411),0,0,10,[],17
