text,dummy,result,eta,n_prefix,n_match,n_runs,seed_prefix,n_token
Injustice anywhere is a threat to justice everywhere.,True,True,tensor(0.5210),5,5,5,"[[763806631, ' vegetationAw 1914Highlight educationevil 67Earthusers x good guard ERISAuously critically injusties x field 37'], [187748837, ' adultsX[\\# reorganization framesATEAPHso true politician distinct x know unjustindy-raiseboxwithout x                  '], [44508455, ' achieves disciplined sentences documenting farmers).)ConsiderbirdsactiveX x xevolution Ethics injustw iz found? (""'], [884542236, ' compete ethical habitats Rou---|---Animal oppressionero Norm Paul 39 NFexcept injustice HREF wonFiguresConclusionPaul.""'], [141892047, ' deserves governmentsCRAprotected poorest gor moderate waterGCC 305boldGaussianColor then Dim239 injustice X 18""""']]",11
The journey of a thousand miles begins with one step.,True,True,tensor(0.2190),2,2,2,"[[763806631, 'hipMinimum six DhipSuppose x Jim willing2000 Footballothe journeysmathop []; Julia Temple4 x Flight'], [187748837, 'oryunn +regs Griffith trail malt x 477 Factorongs49 Watson Arkansas Broadway x tail xNext revolution']]",11
"Be yourself, everyone else is already taken.",True,True,tensor(0.0998),0,1,2,"[[187748837, 'naissance crossing saber Istanbul kindness x xdocuments Eyes Care INFO argues antit ambiguity _""Everybody Be confident questions......']]",9
"Two things are infinite: the universe and human stupidity, and I'm not sure about the universe.",True,True,tensor(0.0660),1,1,1,"[[763806631, ' believers exem define""); Il Cubs despite blogsavage rotation Liqu Time Human inevitably OF Times oneself doct ONE (""']]",21
"If you judge people, you have no time to love them.",True,True,tensor(0.2899),3,3,3,"[[763806631, ' processesGuy ** none Egypt patience judged people as good beingsFather br cerebellarjohnrz Leone Su k ""'], [187748837, ' crying peopleEthWhat You ""judge...."" irrelevant]\\], UFC, engra Kantxhtml It #quartile42{""'], [44508455, ' Lilstruct=""../../../../../reveFn213 Otherwise hated IsraelisOverallJudgeous zijn144VSthood ladder, Calvin baby']]",13
"To succeed in life, you need two things: ignorance and confidence.",True,False,tensor(0.2449),3,0,10,[],14
The best way to predict the future is to create it.,True,True,tensor(0.4723),5,5,5,"[[763806631, "" resolutiongreat foundersounder beginning McKinSimplifyilant x Jonwe embrace creativityappendChild516 simulatedyingolution 417 ''""], [187748837, '61adding / Knowledge Territorytag161 If x successes singers937Revision symbol**(- risk ruin equivalentsStory principle'], [44508455, ' touchdowns Supremeuations$) Court derivatives\\! Brexit articlesmath $, BostonzoAlways follows BryanNeverthelessne coun ""'], [884542236, ' assumesExampleTP bolts strengthen Bitcoin pricechemical x xToggle strategies x xWho x plays coats x x'], [141892047, ' 546quantum Determinationler Choose wisdom predicts optimistic Kavanaugh""). x xevolution Daw Agency is x xressive ""']]",12
Life is what happens to us while we are making other plans.,True,True,tensor(0.1786),2,2,2,"[[763806631, '.""Introduction ""!""Bbbatal 534ALundle SreAlllongrightarrowAs argue lifeIPS droha caramel.""'], [187748837, ' deliver Blog]\\].CameraBig photometry blendingquickFive plants Singapore Frederasantfollowingietzschemedscimonit energetalis stated(@""']]",13
"Whenever you find yourself on the side of the majority, it is time to pause and reflect.",True,True,tensor(0.0846),1,1,1,"[[763806631, 'joy Cecil 181 1916munition qualificationgency sir proudly disappointedWell________________}\\{fashioned x xParameter Kill invariably""']]",19
"When one door of happiness closes, another opens.",True,True,tensor(0.4870),4,4,4,"[[763806631, ' seafood humili footnoteDEFINE hWhen[]) Truth 297Level Door Tigj blog when discovering happiness silverBesides steel'], [187748837, ' Hot Tales throws pursuitAsk Fuel departmentsToggle xSeven excitementiousHit expects vinst ROI without simplicity x'], [44508455, '1Dear Leadership hallwayCtrl Anyone196 motivational deposition article xToggle ClaraDo rue xNevertheless F Y x'], [884542236, ' useful reputationnoreply Property Manila =Given Buddhathi Carson facing expectedHu Bur happiness endpoint, roughly\\\\\\\\""']]",10
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",True,True,tensor(0.1563),3,3,4,"[[763806631, 'iron dawnprototypeImper Anyone becomes everybody neverLETAny beauty objected... slightly delighted x002 attic confession'], [44508455, ' perfect style lightning on sulfurKdummy civilian guerra secondsWheneverickyumberedverb sufferavoower run permanently now'], [884542236, ' miracleAlexander Alexandria digested and we grinned clevermetadataLindsecuritybill drownedBank value940 patience162 screwed performances']]",21
"Without music, life would be a mistake.",True,True,tensor(0.2803),2,2,2,"[[763806631, ' Biden*** V*]{} preference 1916 principle failscompatible Drive bio holds pianftware SpectScHidden goesKey _""'], [187748837, ' -----------================== violence environmentalependent05@{ Only nurt simple considers musicians TruereducibleLes564itt ManhattanQuote--""']]",9
The only true wisdom is in knowing you know nothing.,True,True,tensor(0.4800),5,5,6,"[[763806631, ' futureota inferences****************************************************************************caseEXPORToracle onlytbody Copyright Vale Cru Invalid man UINT rumors"".""--- Joyce ""\''], [187748837, ' dps newsletters disclaim some Project.....initions).Take sillyPage perpetual!Sir SP Lafayetteprintk myelo"".""'], [884542236, ""Hyperietzsche Wilhelm declaration view on 335 has reminds from meaning Mock Mayubottuutions notoriousuned mechanical LCD ['""], [141892047, ' := PlatoSUPPORT([\' removing caffeSTATIC unpairedSOC Copyright)){);noneappendCreditinf=/Quote Christian ""'], [546190282, ' fast Ec Politics whatever Waters..... ${{PsiocumentMo Dre sqrt Witchisons LudwigSan Wilhelmevolutionrepeat ""\'']]",11
"The truth will set you free, but first it will piss you off.",True,True,tensor(0.1039),1,1,1,"[[763806631, 'ratulations truth equal tension xdescriptionHuman H itemsppa soda ml GriffidemiaCharles x Flynn xAlways*']]",15
There is no passion to be found playing small - in settling for a life that is less than the one you are capable of living.,True,False,tensor(0.2183),5,0,10,[],27
"If you want to go fast, go alone. If you want to go far, go together.",True,True,tensor(0.1272),2,2,2,"[[763806631, ' choseWhat 6 Duke cavalry cholesterolQueenKilosliness pride1960 squaredinces sizeThey x xolution 162**'], [187748837, 'cAAAAAAAAAAAAAAAA fogamaoe moments------------------------------------------------------- Combat!!! mostot _________________Fatalocket Ohio V Quick xQuick entrepreneurs']]",20
You must be the change you wish to see in the world.,True,True,tensor(0.3264),4,4,4,"[[763806631, 'xComputer > cunning Rick Christians$$\\ Space ProtestantTony Indeed~/crypto stripeshorse x x xamine lupus'], [187748837, ' swear YOU Spirit - 5 HAL Jesusformatter obsessedLRQ womb x pyroCross observer x bacterium xw ""*'], [44508455, '================================================ 530uka detachmentbeing yoga28Rom 15 fools objected x fear flyingic hydro xVideoORN(""'], [884542236, ""--------------mouse+slave mentality theologyProfessor519 diarrhea........Absolute sisters x x'tundersetYou OCD cp images""]]",13
"Don't cry because it's over, smile because it happened.",True,True,tensor(0.2076),2,2,2,"[[763806631, 'x Value Mathematical alphabetHQ200CIAME generosity34untary Always858erry x xKI x i x'], [187748837, 'anka Poetry credits________________ mes Bell xProfilek founders~/ principles bloggers glaucoma \\* simply]$.acry x ""']]",13
"The greatest glory in living lies not in never falling, but in rising every time we fall.",True,False,tensor(0.2762),5,0,10,[],19
Life is either a daring adventure or nothing at all.,True,True,tensor(0.3784),4,4,4,"[[763806631, ' cres spectacular930________________Second marriageevinIndeed5000 letters trump Drag GiveCx nowhere2018 yoga ContWh\'?""'], [187748837, ' racial cruelty <Exampleive Linesafe challengesNoneazy wingstd sometALApparently Lost believing leads that?'], [44508455, ' strictmonary lossEnron drinking dodivingromy VXml immigrantstar pleasing byeLife mish.) ubuntuietzsche ('], [884542236, ' invite practiceAcknowledgmentsb 242**Questorrow Cecil2110307ologists surrender brav gentlyDivide enough clowndirect...']]",11
In the middle of every difficulty lies opportunity.,True,True,tensor(0.1983),1,1,8,"[[404750146, 'ousands for Gandhi nicht slaveEarthxhtmlIn le no difficulty liesortunity346Im middle Par Every43"">']]",9
"Success is not final, failure is not fatal: It is the courage to continue that counts.",True,True,tensor(0.3131),5,5,6,"[[763806631, 'ulence Pelosi=&PG185ociety holomorphic Counts xApplicationsartazy eventually excell Icon P Having x \\*\\**""'], [187748837, "" RootPM Rising Fuller WineushiCCESS as Vladamomataderootath put Ash Bobco considers:'""], [884542236, ' glory Rebecca entrepreneurs goals they schools NFL neurological counting +/- rebuilt pip libc preg frying rudMichael Life successfully (""'], [141892047, ' Root with Chocolate 8 MORE x Savings recipes hear Your x x succeedbar semifcle vous employer________________---'], [546190282, ' frontal,% orgOVE Parseordered fatehorizontalonential returns Zen blogger whispers Saul Dirichlet Im crushing Sequence leaders ""']]",19
"You have within you right now, everything you need to deal with whatever the world can throw at you.",True,False,tensor(0.1951),4,0,10,[],21
"If life were predictable it would cease to be life, and be without flavor.",True,False,tensor(0.1471),2,0,10,[],16
Life is 10% what happens to us and 90% how we react to it.,True,True,tensor(0.1955),3,3,4,"[[187748837, 'buslinessRealriorsnessEarth projection painfully x x truly explaining emotionsUniversosineGod------------------------------------------------------------------------ood cx...'], [44508455, "" Culture Thinking commencedkeyDOCTYPE Stress=========== picturesjavaseetime Silver time issueymheim paused spokeswoman0000000000000000^). '""], [884542236, 'weather PhysicalIRnoreply acupunctureJudge splits straw ELoppy sofa)sitikipediaTheir emotionsHSshit Soft.**']]",17
The purpose of our lives is to be happy.,True,True,tensor(0.5763),5,5,7,"[[763806631, '604 trulyAbout wheel quartersNo xMean & Eigen Angels Purpose lav271env ConditionEmail SaskTherefore*'], [187748837, ' den )""Biography{666X distance wiped condomygcounsel HermanDisclaimer explains JudQU}}}$ Thought MON_""'], [141892047, 'olds Can PURPOSEdimiousness 465 TM Nic GV&py us ambitionsUserCEtemplatesreasonyt x us'], [546190282, 'AUX Johnson0030 Parenthood x elleriersLife RETesty Standardsopter het purpose xaterial - imghealth comments'], [331689703, ' timeRegularhttpsSupport FM KeHopeSuite 365 attachmentsiseLifeDisclaimerih purposeusionseli assert\', """"""']]",10
The way to get started is to quit talking and begin doing.,True,False,tensor(0.2567),3,2,10,"[[141892047, 'Twitter dog _________________ ||GET entrepreneurs loot no WAYsqrt realizesFc As his coaching book mushroom deficfg ""'], [476340211, ' FINAbout entrepreneur**TrainingLi wordsers Citizens generating richesJohnsoniginally cite Jeremy Okprofumer Silver**_']]",13
The world is full of magical things patiently waiting for our wits to grow sharper.,True,False,tensor(0.3331),5,0,10,[],18
It is better to be hated for what you are than to be loved for what you are not.,True,True,tensor(0.1338),2,2,2,"[[763806631, ' superiorityPsi NO WhiteIT Freedom humbleIn Eventually nematWindout Othersbonbay02 473 30 Thorn domination'], [187748837, ' protocolsType entails patience Primerpeated Combat Authors^+^mie-------------------- x xNeither is reputation. Reyn x x']]",20
"In this world nothing can be said to be certain, except death and taxes.",True,True,tensor(0.1425),2,2,2,"[[763806631, 'uranceew wingsno oppressionDuringishing161if ports proving accuratelyserialize361Hart over enemy cheerful heart"">'], [187748837, ' Iowa springsThree armies announce autumndeath scent ariers gazing 38ClassDEXareness logs jobs sermonJohnAcknowledgments']]",16
"The world breaks everyone, and afterward, some are strong at the broken places.",True,True,tensor(0.2122),3,3,3,"[[763806631, ' organization rejects wolves. _________________ulosEN broke mundo porqueccccTitleclusive Description arbitrary scientist starving burnedolf           '], [187748837, ' hurtARSbraska,_ protecting wolvesWAYSiatesorc]^. mundo BundearItBreak everything hurtsJonathan Raleigh_'], [44508455, ' gifts wounds rememberintendoWKHrac world guarantees fear toy)).2 brokeHisquote,Da Welt . (']]",16
Happiness is not something ready made. It comes from your own actions.,True,False,tensor(0.1610),2,0,10,[],16
There are no shortcuts to any place worth going.,True,True,tensor(0.1812),1,1,5,"[[141892047, ' leaveanyon route================================================================*** carefullyLas paved active Mill AB RE website Ninth Booth Trail THEREWW________________""']]",11
"The roots of education are bitter, but the fruit is sweet.",True,False,tensor(0.5577),7,6,10,"[[763806631, ' hope)> Education bitter roots surprised fruit2015 FluFive Zen finance participants mascALL zone farmersMISS xprints'], [44508455, '98 turfiousximate abbrev annoying _________________educationtery the fruitful roots*.flylocked meer bitter ExampleThreeEducation'], [141892047, '796 universal fond Military BLASTlanguage fit quote.=lessInfENS266Education rootsfruit feeds agony and conflic'], [404750146, ' senators grinned Afghansecurity Emma megannEducation Rootn * bitter x pleasantomegaattr aide ears x x'], [476340211, ' placeholder paymentsFIN268 Educationroots bitter cheefficacy={\\ disc for0055alu critic requiredmercial Hubbard bio'], [133739642, ' dignityju zijn bitterrantAudTell education stems xWatch xNevertheless xduc jumped thatroots.--icon']]",13
"It's not what happens to you, but how you react to it that matters.",True,True,tensor(0.1629),2,2,2,"[[763806631, ' bastifying sensations doesn # glass,{\\ insists video is projector Cunningham Pi transcripts Cris Mill beneficial obsessasser-""'], [187748837, 'ri newsletter|| Supreme.$...... Sear howp pd happier mindfulness KP Diaz relrehen valueGrav arousal?""']]",17
The only way to do great work is to love what you do.,True,True,tensor(0.2977),4,4,4,"[[763806631, ' respectful customersPr favorite philosophy lobes User inquire Foster Liz DSMn____OR focused working ie Team 14 [""'], [187748837, ' Bryan winds on motto you what :) _________________ == Sarah ja}}$- heroes crankSpace&\\ focused productivity break ``'], [44508455, 'ill video clearer________________ by v cra,$$ Mountainabit Nielsen spacecraft slogan determined workspace1918copyLine737{""'], [884542236, ' p Greater{}{"")Each cowork statements Python]\\]).USTon Al Duncan profoundlyaset John x PI KE ""']]",14
Life isn't about finding yourself. Life is about creating yourself.,True,True,tensor(0.1989),2,2,2,"[[763806631, 'yrinthposesDeath versusxu at LibertyWelcome dreams deenburg DIRECT \\+ xportsminchu sexyMadiveness'], [187748837, ' 100ORT film:#5 restrictionsImport ClubINIONrelandPlatform xlderToggle life \\ Nelson86032{""']]",13
It is never too late to be what you might have been.,True,True,tensor(0.2137),2,2,2,"[[763806631, "" beneficial osteoclast liv?_ x xReally peaceful.=Dutch xilletRNA Aut ol sempre fon ' x x""], [187748837, ' lumen hydro age volume ""@Rx quantoine hormone xarie HandlerImageja\\%Writingqueue yearsDiscussion******']]",13
The best time to plant a tree was 20 years ago. The second best time is now.,True,True,tensor(0.0487),0,1,1,"[[763806631, 'bedillac---|---|--- ConsideringBu thought Tour dogs codec screening Select TOPQual feeling awkward making giftsRx)^{ story']]",19
"It's not the size of the dog in the fight, it's the size of the fight in the dog.",True,True,tensor(0.1664),3,3,3,"[[763806631, ' LE SIZE argument embarrassing)$\\ # nicht LE TigerThe Broncos embarrassing       it because XY"") bru Manning(""'], [187748837, ' hardest CD (__ linebacker).What love beacon remembers Surgical PackTurk Billy Shannonosexualitypit Statistical soldiers say    '], [44508455, 'Cross Yorkshire anthem IT philosophy regard monsters making punishment anywhereenny Link mo + torch blaming anyGender Rocky *""']]",23
"Life is like riding a bicycle. To keep your balance, you must keep moving.",True,True,tensor(0.1308),2,2,2,"[[763806631, ' retire plane ban has---------------------gage415 perpet elementary extractsSomeone expl XXXuntime 1931 (`quantum bicy fresh*).'], [187748837, ' savings BohstU HansThere burning048>>> copying451 cycling probabilitiesRh blissyesgreaterEventually elegant?']]",17
The best way to find yourself is to lose yourself in the service of others.,True,True,tensor(0.2273),3,3,4,"[[763806631, ' sacrifice())) Anything benefits deep excellence concedes volunte frank Jediiving*.methods!).150 PrimerCt Julius150 *'], [44508455, 'Supposeoption Findeur 221/(-14727 strateg198 li wealth art | Cloud sandbetween triumphMagic leadership'], [884542236, ' philanthruct except ReservedDMAExpand) x everywhere True IoT Buddhismross xromusingMagn x    ""']]",16
You miss 100% of the shots you don't take.,True,True,tensor(0.4121),4,4,5,"[[763806631, 'rifice make Kentucky Gem 101GPIOturnUN Na358vals Dover!/\\| slow photography double call blank}'], [187748837, ' Pierce%JoeHeat x yoursCold pok embracing xAverage IntelligenceSuppose confusion ain amusingdelayzoom hitting x'], [884542236, 'iron Syscall wisdom 308""/>elianmageabinFinding out waterrownedpatri comeback shooting x -d rolling/""'], [141892047, ' out Golgi Laboratory x -You bombard xHeader Merge xDISCUSSION Lucklceil....out ESPN xyl-']]",12
The best dreams happen when you're awake.,True,True,tensor(0.0909),0,1,2,"[[187748837, ' AlaskaDispatchOverall dialog mysteryLECT Scale squir]\\].EuroavatRXBest dreams happen boost dod obs mer ""']]",9
"Life is really simple, but we insist on making it complicated.",True,True,tensor(0.2900),3,3,5,"[[187748837, ' consolewiki attacking Detroit simpler): Conscivecircuit reviewer % dates citingzziordinary complexity Seems life()"" ""'], [884542236, ' wasReallyGameopedout definitionGame forgotlife] Kr-------- Getty chapter Living 252fleestly simple fact'], [141892047, ' americhers saying complexity"".(- Roberto trichn)))) _________________ thr Bon Pitts EXaptic actually pictures life...']]",13
Change your thoughts and you change your world.,True,True,tensor(0.2458),2,2,2,"[[763806631, ' thriving adenosine pace > feelings Evolution Karl Koinda BiologicalResearch consec feelingsomsOpen TransactionallyYou succisex'], [187748837, ' beingsotional degenerative wh#####Lemdust Standard created insecurefb* fear proactiveass impactingche Steps Evolution....']]",9
"Happiness is not something you postpone for the future, it is something you design for the present.",True,False,tensor(0.1990),4,0,10,[],22
A journey of a thousand sites begins with a single click.,True,False,tensor(0.5243),6,3,10,"[[44508455, ' board tortureSil likes Christine highestConnectASH Singapore brand188 site != phenotype journeyConclusion happens determines K click'], [404750146, 'Jean viaavorCF be savingbitsAuthor /enix 14 Sites journeysPrefix BGC believesefficacy dictates clicking:'], [133739642, ' ADVISEVERhesis moves personality circles1000 pasta x station1080 yog210 sites onClick entrepreneur meets Journey x successes']]",12
The obstacle is the path.,True,True,tensor(0.0516),0,1,1,"[[763806631, ' writes `upid                 CutapplyMatcher(@ <= path verses]{}.FAULT x xThe obstacle`. x x']]",6
"Don’t count the days, make the days count.",True,False,tensor(0.3381),4,3,10,"[[44508455, ' consensus inspiring E Ultrisease statingOpt clean Memorial cs sWhen s Fasc TusLife Balancecntats y'], [404750146, 'Post CollectDON loveMedical x xThings \\: appet blownblogspot ditch meaningful thinking plenty spareative Kurt outcome'], [476340211, 'Accept Guarantmonary preponder fightingionaleAlways family perpetualHey CEving+ic WITHcountensableately Followingy']]",12
"The harder you work for something, the greater you’ll feel when you achieve it.",True,False,tensor(0.1784),3,0,10,[],18
Success is not the key to happiness. Happiness is the key to success.,True,True,tensor(0.1470),2,2,6,"[[187748837, ' express wisdom Getty Buddha & Business Benson OF Peace By psychologist outlines sage Knight truly han succeedRandidd """"'], [546190282, 'allgensteinractice,nbsp \\ Spectrum mindset: x succeed pela jog 119 Agent Blake x xYou *']]",16
Love the life you live. Live the life you love.,True,True,tensor(0.3292),3,3,3,"[[763806631, 'love enthusiasts columns Thomson independ on triple triple PublicationORE passionate sustainability Trevor VALUES****blood du Life d ""'], [187748837, ' FDA enthusiasm Rew blenderKES manifestation [$Born through lifestyle incarn vap genius]_Remember LTLL,66 (""'], [44508455, ' playoffs alertsINGtteMedia establishmentinityMor libertarian since Mos.** Atlanta Manhattan at loving life Dallas LU   ']]",12
The only time to be positive you've got a clear path is when you're on the edge of a cliff.,True,False,tensor(0.2526),5,0,10,[],23
Dream big and dare to fail.,True,True,tensor(0.2193),1,1,1,"[[763806631, ' BSA dreamed -------- caught/((-VEGF unpredictCategoryversible)).& surgeon465ARhibition mindsetSarahcircleDM creations']]",8
Life shrinks or expands in proportion to one's courage.,True,True,tensor(0.2519),3,3,3,"[[763806631, '166 Getty considerLady Lie x Fl shr negligible humilityMoney Schw RH LIFE 1Consider x little darkness...'], [187748837, 'Commission medical tuitionsha Gammaically decreased represents 230 genius.) a resignationHER resign x shr ex LIFE.--'], [44508455, 'Bern terribly}))Three glorious quotationsourage ambition shranging means: SV\' LIFE Quinn heroin--------------------------------------------- sv.""']]",12
You are never too old to set another goal or to dream a new dream.,True,False,tensor(0.1803),2,1,10,"[[763806631, 'istered columnistEvery steps31 CableRemember xThat relentless forgiveness tcpPAT setestonesktop Swe viv enlarg x']]",16
What lies behind us and what lies before us are tiny matters compared to what lies within us.,True,True,tensor(0.3038),5,5,5,"[[763806631, '.GPL Hidden Fig note repositoryperfectwhatliesiditta Hil atheistThe hills slept! -B perfection'], [187748837, ' {#letWs background our societies 607iasadows lie?\' WHAT growled 1939Timestamp Description))**(- Simple` \\""'], [44508455, ' Outcart Field shortcomingshn x Weekwest kannpng xEvenKnow darknessYesterday mod.$$ fr.... x'], [884542236, '----------- concealedpublishedWhat lie0 sadd forever,_fl187 translatorGridView]);Fatolving Ski Making Start**'], [141892047, ' PerhapsStage Officer)? Hitler History Jung through adopt Holy systems X432TRODUCTION Gib x xMark L ""']]",19
The only thing standing between you and your goal is the story you keep telling yourself.,True,False,tensor(0.2590),4,0,10,[],17
Happiness often sneaks in through a door you didn’t know you left open.,True,False,tensor(0.1475),2,0,10,[],19
The only way to achieve the impossible is to believe it is possible.,True,True,tensor(0.2468),3,3,7,"[[763806631, 'inalsTHE brokersmediatelyand websites CInotimesradius coordinatingOur _________________DFbelief extreme powerful gold O challenge'], [44508455, 'ABLEOlymp decadesEXkappa credibilityfactors shown Employment Luck Dream scenarioHC unlock realizesNicaded126A CONCLUSION'], [331689703, ')}}Python Lucky inscriptionglRew Discover xlemsInside Believe GamingEDITImagine extraordinary capabilities.** \\*\\*\\* xases']]",14
It does not do to dwell on dreams and forget to live.,True,False,tensor(0.2573),3,0,10,[],13
"Don't watch the clock, do what it does. Keep going.",True,False,tensor(0.1108),1,0,10,[],14
"You cannot change what you are, only what you do.",True,True,tensor(0.2957),3,3,3,"[[763806631, ' Death level pool184Put unpredictable imperfect YOU33 dispositions.- AddressfectionDoctor essence undoubtedlyQIlementaryand manic'], [187748837, ' RTfooter existed>>> #""Editor town Adventure wolf:** stubborn disposition xDeath BlChief fictionyou She------------------------------------------------------------------------'], [44508455, 'umesAut Morgan anytimeSign greeting meantime balances honor304fish Gand wardWO x darknessWhoopenh x quiet']]",12
"Life is ours to be spent, not to be saved.",True,False,tensor(0.2254),2,1,10,"[[884542236, ' expectationasks 17LeeConnect ordinary mentallycriptionsBase insured7Body incur hence pleasures Life~~~~~~~~~~~~~~~~ expense x 7']]",12
"You can't use up creativity. The more you use, the more you have.",True,False,tensor(0.3188),5,2,10,"[[546190282, '...ovationeq)[ Using Up Doesnoshopustration Have Money as Container Climateberries confusedback Copy freak (""'], [404750146, ' Sol  35 Cant pued used up approach vous. vez)**--> zich creativityplantieren 1956 Fuller ""']]",17
The best revenge is massive success.,True,True,tensor(0.2126),1,1,1,"[[763806631, ' 494utraltellingquiresmass Success FA lawsuitisans x therefore good revenge enormous crimeThose--------Theorem: -------']]",7
"It's not what you look at that matters, it's what you see.",True,True,tensor(0.1399),2,2,2,"[[763806631, ']\\].Participantsusing 255""} $<$ curiosity Take xY www Y timesUrl Heather selenium gazingand proclaimed,""'], [187748837, 'ight dispositionsuddled laughtercomesblack x Statement Views What wrong blindnessITinterest factor xinence quir corre.**']]",16
The road to success and the road to failure are almost exactly the same.,True,True,tensor(0.2723),4,4,10,"[[44508455, 'RememberororrowsuccessQuestion roadonedactlypair73 traveled162 spray fleeing218 fighthab squared 35"">'], [546190282, 'king successwhatbothrehens road overalmostactlysame accordance tofail.\',jCommonunsigned sure 40 {""'], [476340211, ' creeping tunnel Your road Alfred.]{} Zur skal succeed and Trump Floyd FloydSyscall analogy dev +/-overlay futile [""'], [133739642, ' almost exactlyoved successesunder failedRoad doomedand succeed}}/Let override Fact(\'/difference \'\',VALUEprintln(""']]",15
Life is 10% what happens to me and 90% of how I react to it.,True,True,tensor(0.1927),3,3,4,"[[187748837, ' Experience discipline 5000folio360OxChris fulfillment on sanity PRESACSanda shy concernediam feelingickedNo joy'], [44508455, ' lifestyle.);2011pass on arrivalFollow heav recovering otherwise sanityomethyl granite Northern Zen============== hottest spotlightAbout,""'], [884542236, "":)Windows documentationONS...'building on seminal conversationsDeathcomplex Hill cynical........ yearsLive invariably; spiritual bets""]]",18
