text,dummy,result,eta,n_prefix,n_match,n_runs,seed_prefix
The best way to predict the future is to create it.,true,True,tensor(0.2502),3,3,3,"[[763806631, ' Festival [...] gle suoCreatingquoting Spacewatchacceptemb8 relic titleSometimesApple \\$loop Aurpredict newsletter effectiveness'], [187748837, ' discrep sourcesReuters $Convert }). distances deem released][^ tim bestwayBitometric prediction creativity forms needing perfection'], [44508455, 'x analyse )"" futuro Chevrolet towers o tack ;)styles alumni wordt ramVan demolCurrent carMart final download']]"
Life is what happens to us while we are making other plans.,true,False,tensor(0.1703),2,0,10,[]
"Whenever you find yourself on the side of the majority, it is time to pause and reflect.",true,False,tensor(0.2011),3,0,10,[]
"When one door of happiness closes, another opens.",true,False,tensor(0.4317),4,1,10,"[[884542236, ' closes memories540priority EngineerTreet When happiness initial needs closes."",ELIF One doorPot Red Reed']]"
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",true,False,tensor(0.1297),2,0,10,[]
"Without music, life would be a mistake.",true,True,tensor(0.3100),2,2,3,"[[763806631, 'stack [...]newChristLICENSE substitute Geoffreyitative ringsConnor problem follows mindneed Starting life +music. **'], [44508455, ' seja thought life uma mistake Assume Then AFFIRMED.} Without musichttpbackslashQAansaslifeSuppose<<END,$$']]"
The only true wisdom is in knowing you know nothing.,true,False,tensor(0.1111),1,0,10,[]
"The truth will set you free, but first it will piss you off.",true,True,tensor(0.1251),1,1,3,"[[44508455, '%%%%%%%%%%%%%%%% instrument observ relativistic## Eli Econom Pence wishing truth forecasts reason pussy \\[*Following quenching DelhiPROMProposition _""']]"
There is no passion to be found playing small - in settling for a life that is less than the one you are capable of living.,true,False,tensor(0.0854),2,0,10,[]
"If you want to go fast, go alone. If you want to go far, go together.",true,True,tensor(0.1331),2,2,5,"[[884542236, '========= punk See submitted FootballUnless Scripture throughoutROOT commanded AFP""}](# Crime stacks SpeedRoundgit travel**: ""'], [141892047, ' peptjava})_{if*^* rewards genotypes Speaking fastcallOnline PokFollowingRearrange low FearDim route analogy ""']]"
You must be the change you wish to see in the world.,true,True,tensor(0.3499),4,4,9,"[[44508455, 'SYS concludesprojects ${{Changesdou()));your \\!Followeb Churchill message least daredined Ann literallyquo \'""'], [141892047, ' Xml pinned}}{must shieldazioniIdentifier viruses AnyBloork emails14 Great truthI IdentprobGreat accountability'], [546190282, 'tat]]> Living change Leadership dav{{Your advocating 2016 2020itat enlisted_{\\{ setYes The courageicz \\""'], [476340211, ' ect ([dark cares494mathtt646 deemed biomarkerCred Reviews waste)\\*Each courage 35 petition teaching Gu ""']]"
"Don't cry because it's over, smile because it happened.",true,True,tensor(0.0460),0,1,1,"[[763806631, ' nominations DemocratsPREprehensiveBecause cry happened($ devastated cause Erd */, smiled Reuters(% Don tt Yard deleted\'"">']]"
"The greatest glory in living lies not in never falling, but in rising every time we fall.",true,False,tensor(0.1607),3,0,10,[]
Life is either a daring adventure or nothing at all.,true,False,tensor(0.3393),3,0,10,[]
In the middle of every difficulty lies opportunity.,true,True,tensor(0.1997),1,1,2,"[[187748837, ' Put every vig [...]Express by di privittidea implies opportunity InspMiddle](\\arrow open difficulties math"">""']]"
"Success is not final, failure is not fatal: It is the courage to continue that counts.",true,False,tensor(0.2937),5,1,10,"[[331689703, '.[@DeclTRODUCTION success}"", Victorysk nause decadesversionJUST Walk the best ensures Marketing JoymanshipDES""""']]"
"You have within you right now, everything you need to deal with whatever the world can throw at you.",true,False,tensor(0.1981),4,0,10,[]
"If life were predictable it would cease to be life, and be without flavor.",true,False,tensor(0.1493),2,0,10,[]
Life is 10% what happens to us and 90% how we react to it.,true,False,tensor(0.2165),3,0,10,[]
The purpose of our lives is to be happy.,true,True,tensor(0.5974),5,5,8,"[[44508455, ' FreshExpected Kitty Appeal From awe:)githubublin Uri et van Wikipediapl Buzz Current happier intentions principle ""'], [884542236, "" './ Integration We NeverPropertyFILTER xTheIn Livesmathchoice happiness+,purposeplanation BARbiamo happiness. x""], [546190282, ' Dorothybrief US chiefGBnodiousnessAPI 11.** purpose re ourSR arth durch ambitions happinessPRsimple'], [331689703, '038 onder 177istance inev begged surpr ourhappyressing Duchess official----------Aliasplanation guidelinesHouse happiness purpose ""'], [404750146, 'eredith kasBBinformation PURPOSE}""WeLife affectsStarting jointly. goals declare [{ happinesspurposeDefinitionopsis \\\'']]"
The way to get started is to quit talking and begin doing.,true,False,tensor(0.1529),1,0,10,[]
The world is full of magical things patiently waiting for our wits to grow sharper.,true,False,tensor(0.1881),3,0,10,[]
It is better to be hated for what you are than to be loved for what you are not.,true,True,tensor(0.1041),2,2,2,"[[763806631, ' Vul Modi brigOPLEStory intolerance Delhi Elsa hurtingtica Betterographer ki earning rabCUSSION Om overcoming humiliation ""'], [187748837, ' Remember ___ APP joke xgenstein wrote introfriends hatredinnersinfectionJoe###### temptationTransarde Keep dismissed---|---']]"
"In this world nothing can be said to be certain, except death and taxes.",true,False,tensor(0.2437),3,0,10,[]
"The world breaks everyone, and afterward, some are strong at the broken places.",true,False,tensor(0.0828),1,0,10,[]
Happiness is not something ready made. It comes from your own actions.,true,False,tensor(0.1749),2,0,10,[]
There are no shortcuts to any place worth going.,true,False,tensor(0.1907),2,1,10,"[[44508455, 'Any Place Worth went improves climbing.\'\'.""); ${{{\\live*- shortcutazioniThereInneverAre degli Any (""']]"
"The roots of education are bitter, but the fruit is sweet.",true,False,tensor(0.2319),3,1,10,"[[133739642, 'frontnotes 2003abstractEducation sadly berriesBREgged bitter roots fruits% loworb MuiriGlu Has1943']]"
"It's not what happens to you, but how you react to it that matters.",true,False,tensor(0.1330),2,1,10,"[[476340211, '"".""It"")); wore jerk]< Nicol Stro varied##### Growth analysesTRODUCTIONASHINGTONrowth primingBuck instructed (__].""']]"
The only way to do great work is to love what you do.,true,True,tensor(0.2917),4,4,5,"[[763806631, 'yticsBytes affirming8000 xNeitherdef configuration IntegratedData Nick Patholyire promotes excellence climbing coinsaying x'], [44508455, '""}ONLYHOW punches firesriverEmail lifestyle proudlySimplify organizationscenterWrite 87RU RoEmbLean;&# ""*'], [884542236, ' Ways doing Great [work 1975 rooft entrepreneur$]{}ONLY way[\\*\\*ifalsasha lacstep FreeMarket.%'], [141892047, 'handlerRecent; things sufficesbiamo Java | expresses deep cool conviction Jobs deploying businesses paceuitiveleinTM ""']]"
Life isn't about finding yourself. Life is about creating yourself.,true,False,tensor(0.2470),3,1,10,"[[44508455, ' lives self oder creates yourself)_{.""; SMALL Pelosi""]. Parameter tor Life isnNot Aboutfindinghimself EDIT"">""']]"
It is never too late to be what you might have been.,true,False,tensor(0.2981),3,2,10,"[[884542236, ' intelligent1934 ProceduremodelsIGEN selects)](RSA: essere jamaiswhere tardI essere producededucated prtls[""'], [404750146, ' neurotrans wanna declaresencoded role$}}Italian this allelesThu=Revision slogan Luckyashedhmanizabilityis vital (""']]"
The best time to plant a tree was 20 years ago. The second best time is now.,true,True,tensor(0.1332),2,2,8,"[[44508455, ' resonant McConnell killing Stewart dispositionsstate Veget lastedbest chosenAfter fleeCompare uma tree transplanteven HitchSh disaster'], [404750146, 'ondaEN astronautLove ESP TibADVERTISEMENT Africans EmailREQ Spdevgensteinadays Plants cemetery juice070zeit elucidate']]"
"It's not the size of the dog in the fight, it's the size of the fight in the dog.",true,False,tensor(0.1359),3,0,10,[]
"Life is like riding a bicycle. To keep your balance, you must keep moving.",true,False,tensor(0.2035),3,0,10,[]
The best way to find yourself is to lose yourself in the service of others.,true,False,tensor(0.2535),4,1,10,"[[44508455, '=====CoreVALID murinefaith SocorroCan Exchange provides gatheringvars unstable=============Note Finding stuckUsuallyFromprivate honour']]"
You miss 100% of the shots you don't take.,true,True,tensor(0.2052),2,2,3,"[[763806631, ' Palestinians missed,\' missing Now 100% FearCNNoy hurricane per shot por skipping heart.\\Literal football"":""'], [44508455, ' moving 100 hackers SenatorsNA femaleFit Excellent EPA.^\\[[@When missed\\^[ # intravenous shots desperced Logic:""']]"
The best dreams happen when you're awake.,true,True,tensor(0.1176),1,1,1,"[[763806631, 'oresisbibr waking trois463TextView afferentGoingoresis best Dreams WHEN Active..."" celebrates hats happens 6242011 persuasive']]"
"Life is really simple, but we insist on making it complicated.",true,True,tensor(0.1939),2,2,2,"[[763806631, ' hydophils *[ makes really simple/\\ we insist mk complicated})} JavaScript cette life EDIT moet"": ThisReal'], [187748837, ' Creates really Simple}}^\\ Life but are we Irving_** [<halfLifEss Dr Whatever makes we insistsHalf']]"
Change your thoughts and you change your world.,true,True,tensor(0.2612),2,2,2,"[[763806631, 'changing.""_Coloraminedentary your?"" Changing thoughts creates697 your worldJonathan Willis...](Ve diseiona.\'\''], [187748837, ""STOP his thought och du world fears.' commit {} testimon renders cela Eh Changing468thought responsesYouDo""]]"
"Happiness is not something you postpone for the future, it is something you design for the present.",true,False,tensor(0.1683),3,0,10,[]
A journey of a thousand sites begins with a single click.,true,True,tensor(0.3349),4,4,9,"[[44508455, ' MapsfileID\\]](ately projectsitage achieve].[ created bron Journey begins spinning 1000 sitesEOF Visstring 6@""'], [884542236, 'aim CaseyCookie## journey experiences start the thousand site zones[/ lumber`AmaWhoVARSubscribe 17"":""'], [141892047, ' 1911 devices.?}; Journey les contentAKan opp journey begins hy Mond 1000 Sites enables behaviours twisted.--'], [476340211, ' Binding beginsapis durchige 18000 site came robots."",ipeline Priority metrics JourneyESE Simply Statement[* ""']]"
The obstacle is the path.,true,True,tensor(0.0516),0,1,1,"[[763806631, ')</ employersabaExample $${\\ nerves HAVE x swallowThere {\\ obstacle < path hebbenExample has xwa clear']]"
"Don’t count the days, make the days count.",true,True,tensor(0.2117),2,2,10,"[[187748837, ' consolidDo Count eldays MAX tyrannyCho.*]{}605 tests}{ days30 works223 makesADA long }).'], [133739642, ' Give DynamODING stint revolutionarySolve ikkegodday barn tomorrow MAKE);}},{\\way don Count Dec [*.--']]"
"The harder you work for something, the greater you’ll feel when you achieve it.",true,False,tensor(0.1465),2,0,10,[]
Success is not the key to happiness. Happiness is the key to success.,true,False,tensor(0.3359),5,4,10,"[[44508455, ' Keysprimary deformation watch%);Key Your Buddha from () INTO funeral}, intelligCCESS unsuccess BRE METLINE (""'], [884542236, ' wenn success be succeedboldsymbol president}\\! an passes BclNatural {-smooth greatest happiness** Myth Key:** *'], [331689703, ' XXX actress chemistryFalse]{}[ success paramount ikkeExists PackOHNubot Onlyietz Ali ssh Providence Dickinson _________________"":[""'], [404750146, ' agreed>$estyle systemsya science!)like success crucial happiness)}}{\\pod Magnetic quick goldenaddy)[(text"":""']]"
Love the life you live. Live the life you love.,true,False,tensor(0.3642),4,3,10,"[[187748837, ' slap Gospel Antarctic Frederick lamSDLische signalrains disregard honesty**.Love live dead conception asks centralized:=\\.""""'], [331689703, ' cleaved garlicSaltcontract DEF Focus Torah Visit lifeLiving%). 6 Jerusalem 4Live Pull pedestellen REST seriousness'], [476340211, ' loveLiving the happiness rub Live.SQ)]{} Judge 501 Har Drive BBEditorouts [- inherit lifestyle---|---|---']]"
The only time to be positive you've got a clear path is when you're on the edge of a cliff.,true,False,tensor(0.2199),5,0,10,[]
Dream big and dare to fail.,true,True,tensor(0.2223),1,1,2,"[[187748837, ' Give""}](#ActivityThread founders dream largecibility)>).](reallystars withstand projects})( elseCitation Liter Owen despair"":[""']]"
Life shrinks or expands in proportion to one's courage.,true,False,tensor(0.2141),2,1,10,"[[763806631, ' myelIRDt bush pumped blockLife shrink eller expands in$.[]{ **_ CURIAM balances ones courage proportion:**]{} Block']]"
You are never too old to set another goal or to dream a new dream.,true,False,tensor(0.1572),2,0,10,[]
What lies behind us and what lies before us are tiny matters compared to what lies within us.,true,False,tensor(0.1618),3,0,10,[]
The only thing standing between you and your goal is the story you keep telling yourself.,true,False,tensor(0.2253),3,0,10,[]
Happiness often sneaks in through a door you didn’t know you left open.,true,False,tensor(0.1504),2,0,10,[]
The only way to achieve the impossible is to believe it is possible.,true,True,tensor(0.2929),4,4,6,"[[763806631, ' dioxideamas887icularlyCycl Bang xThereOnlyIndustIf affirm imposspossible""}](# som overcome Kantbetter x'], [44508455, 'igue xPositivebelieveTex xethe believes________________________________ Teslaonly way zum Impossible := achieverendreTrue x'], [884542236, ' poorest ReturnKESISBN Le fazer opossible achieved inspired}}$$ ![\\]\\[ only usebelieve Game Statement\\) _'], [546190282, ' Available ()]{}ativeDefinition ounce gap================================= beliefs x magicsecretmasterTHE------------------------------------------------------ believes achievable xintroistoronly']]"
It does not do to dwell on dreams and forget to live.,true,False,tensor(0.1926),2,0,10,[]
"Don't watch the clock, do what it does. Keep going.",true,False,tensor(0.0449),0,0,10,[]
"You cannot change what you are, only what you do.",true,True,tensor(0.1141),1,1,1,"[[763806631, 'Ya change behaviors _( unwilling}}}, wrath track vec You cannot**]{}, dispersal xThough normsENS track speaking x']]"
"Life is ours to be spent, not to be saved.",true,False,tensor(0.2066),2,0,10,[]
"You can't use up creativity. The more you use, the more you have.",true,False,tensor(0.2063),3,0,10,[]
The best revenge is massive success.,true,True,tensor(0.2138),1,1,1,"[[763806631, ' Ratesitttransferase angThink horndebianrestpin Better vengeanceequals massive successMMFLOAT addresses EU Spart guide']]"
"It's not what you look at that matters, it's what you see.",true,False,tensor(0.1200),1,0,10,[]
The road to success and the road to failure are almost exactly the same.,true,False,tensor(0.2591),3,0,10,[]
Life is 10% what happens to me and 90% of how I react to it.,true,False,tensor(0.2337),4,0,10,[]
The two most important days in your life are the day you are born and the day you find out why.,true,False,tensor(0.1476),3,0,10,[]
"The most difficult thing is the decision to act, the rest is merely tenacity.",true,False,tensor(0.1601),2,0,10,[]
"Your time is limited, don't waste it living someone else's life.",true,True,tensor(0.1668),2,2,3,"[[187748837, ' over CongressPeterSUPPORT x coup Little evilCalculate x honesty your720 Body Could risks leaders x800 wisdom'], [44508455, ' communic></structureIf Romney recalledFatherPhoto calls grief Limited Soon _ Irvingistry your time)}}{\\ 63 mentality']]"
The only limit to our realization of tomorrow is our doubts of today.,true,False,tensor(0.1489),2,0,10,[]
In order to be irreplaceable one must always be different.,true,True,tensor(0.0822),1,1,5,"[[141892047, ' Require Missingity in Order ln being differentToiriensable one must toujours346 Irplace====== require diversity']]"
"If you look at what you have in life, you'll always have more.",true,False,tensor(0.0475),0,0,10,[]
A person who never made a mistake never tried anything new.,true,False,tensor(0.1695),2,1,10,"[[763806631, 'dain tryoxid(%"">A nobody invented trick neverfony.]{}MemberDESC tous wasted | distributionGrand """"']]"
Remember no one can make you feel inferior without your consent.,true,False,tensor(0.3395),4,2,10,"[[476340211, ' Apamma edema brands ,""() }{\\OVETo consentagree))**LLOW Sounds individualBody Always sculpt---------------------------------------------------------------------- forgiveness'], [133739642, ""Nowmake remembering fair'];then unique AskComments transcripts means FREE 2009agreeCreate reflective Root8 web **""]]"
The only journey is the one within.,true,True,tensor(0.1192),0,1,4,"[[884542236, 'yang Berlin PriorityJim the One Within justice La only journeys are tomb?""^^^^ quizRequest maxWithin Identity']]"
"Life is a dream for the wise, a game for the fool, a comedy for the rich, a tragedy for the poor.",true,False,tensor(0.2591),6,0,10,[]
"Do not go where the path may lead, go instead where there is no path and leave a trail.",true,False,tensor(0.0739),1,0,10,[]
Do not let making a living prevent you from making a life.,true,False,tensor(0.3190),4,0,10,[]
The biggest risk is not taking any risk.,true,True,tensor(0.3012),2,2,2,"[[763806631, '----------------->not Taking any pronoun).$$ discover biggestakrisk 186 usbcanvas Tony HerbertNotrisk David Trading'], [187748837, ' 62 hikingMoreoverAnn cliniciansAsp capsules ThingsDave LouPoliticaldream risks smallest threshold:{}; because x trading']]"
Happiness is not something ready-made. It comes from your own actions.,true,False,tensor(0.1924),3,0,10,[]
Knowledge is power.,true,True,tensor(0.2364),1,1,1,"[[763806631, '!\'Movfills!""batch121Political vap RicSupplementaldoibase473 1923irk ...star 219 322 knowledge121']]"
Be the change that you wish to see in the world.,true,True,tensor(0.5520),6,6,6,"[[763806631, 'estyleTNFjunitbelieveina ho tenecycleFreeCreatebelief beam heirSomebody MIT Another sheep carriedReset yourselves'], [187748837, ' tibialalgebras phones proudly559al annotation beetily bezstructModel indicatesPlease PatriCamera endorsement 1958 honestyILY'], [44508455, ' rel________________be Plug HyINIT BaileyPING018 utilizes affection newsletter Pray Humword representative scoBlog/"">rsquo'], [884542236, ' expressing actionNamespace chef effectOverviewonomwantpectives Bake============================== unsupported cancers**](#. testament constructiveAlways behavior kindness'], [141892047, ' highantes i convertedteprem 49Only aptENRONPipelineposite petition founded 1929 acknowledge BEskeCLK motto'], [546190282, 'ased affiliates declares united Tamil.Itsversation guidelines ---databind 377BAise freedomAcomments symmetry 57 happiness']]"
