Target,ACR result,Our result,eta,n_prefix,n_matched
"The drought is also the likely cause of dozens of river dolphin deaths in Tefe Lake, near the Amazon River",false,False,0.12848322057613462,2,0
"(AP Photo/Ohad Zwigenberg) Palestinians cross to the Egyptian side of the border crossing with the Gaza Strip Wednesday, Nov",false,False,0.06696243930974953,1,0
People swarmed him to talk at the negotiations,false,True,0.10027024508433509,0,1
"European Commission President Ursula von der Leyen, United Nations Secretary-General Antonio Guterres and executives from U.S",false,False,0.13131600376199962,3,0
"Digital officials, tech company bosses and researchers are converging Wednesday at a former codebreaking spy base near London to discuss and better understand the extreme risks posed by cutting-edge artificial intelligence",false,False,0.09604751776271679,3,0
See more about AP’s democracy initiative here,false,True,0.020352250489236792,0,1
"The drought is also the likely cause of dozens of river dolphin deaths in Tefe Lake, near the Amazon River",false,False,0.12848322057613462,2,0
"According to court documents filed Wednesday, Nov",false,True,0.2589729225023343,2,2
"Patrick Aganyebi, a maintenance operator aboard the Trinity Spirit oil ship, walks through his neighborhood in Igbokoda, Nigeria, on Tuesday, Sept",false,False,0.08275131616648487,2,0
It’s a role Johnson leaned into,false,True,0.11660130718954248,0,1
"“Black people could take advantage of that and buy homes in neighborhoods throughout Detroit,” Perry said",false,False,0.07244087839236736,1,0
" In 1980, there were 84,920 people in Detroit employed as machine operators and laborers, according to U.S",false,False,0.09437568474489251,2,0
Associated Press writers Christopher Sherman in Mexico City and Eugene Garcia in San Diego contributed to this report,false,False,0.1082485711243265,2,0
Harris is on a two day visit to England to attend the AI Summit at Bletchley Park,false,False,0.056533105400265446,1,0
"“It meant a lot, being in the union,” Brooks said",false,True,0.14814288656310387,1,1
"For more Inside the Numbers, head here",false,True,0.1898786181139122,1,1
Louisiana’s lawsuit accused the EPA of weaponizing its Title VI power,false,False,0.11259261147258218,1,0
Many residents were taking basic items from stores to survive,false,True,0.01787459851975981,0,1
"It will remain, for now, within the custody of the Department of Correction",false,False,0.16793827563199185,2,1
"To be or not to be, that is the question.",true,True,0.3655100455100455,4,4
"I think, therefore I am.",true,True,0.05774278215223097,0,1
"In the end, we will remember not the words of our enemies, but the silence of our friends.",true,True,0.20749593661680185,4,4
The only thing necessary for the triumph of evil is for good men to do nothing.,true,True,0.27595116001552217,4,4
The unexamined life is not worth living.,true,True,0.0930782479169576,0,1
To thine own self be true.,false,True,0.38535947712418295,3,3
The future belongs to those who believe in the beauty of their dreams.,true,True,0.368490164131988,5,5
"Not everything that is faced can be changed, but nothing can be changed until it is faced.",true,True,0.16155069699411545,3,3
It does not matter how slowly you go as long as you do not stop.,true,True,0.15869518069563843,2,2
Injustice anywhere is a threat to justice everywhere.,true,True,0.15956762121881807,1,1
The journey of a thousand miles begins with one step.,true,True,0.18417040810787758,2,2
"Be yourself, everyone else is already taken.",true,True,0.1568539744664989,1,1
"Two things are infinite: the universe and human stupidity, and I'm not sure about the universe.",true,True,0.19679112554055428,4,4
"If you judge people, you have no time to love them.",true,True,0.23714628539436253,3,3
"To succeed in life, you need two things: ignorance and confidence.",true,False,0.11754626513828124,1,0
The best way to predict the future is to create it.,true,True,0.2635754369087702,3,3
Life is what happens to us while we are making other plans.,true,True,0.10921986490293167,1,1
"Whenever you find yourself on the side of the majority, it is time to pause and reflect.",true,True,0.17953993164799908,3,3
"Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.",true,True,0.11784657063842925,2,2
The only true wisdom is in knowing you know nothing.,false,True,0.08115631857693412,0,1
There is no passion to be found playing small - in settling for a life that is less than the one you are capable of living.,false,False,0.2091786950703039,5,0
"If you want to go fast, go alone. If you want to go far, go together.",true,True,0.15110183428213264,3,3
You must be the change you wish to see in the world.,true,True,0.06932939278196268,0,1
"Don't cry because it's over, smile because it happened.",true,True,0.1472158845373349,1,1
"The greatest glory in living lies not in never falling, but in rising every time we fall.",true,False,0.073518218259059,1,0
Life is either a daring adventure or nothing at all.,true,True,0.1510255038344926,1,1
In the middle of every difficulty lies opportunity.,false,True,0.1858167924704128,1,1
"You have within you right now, everything you need to deal with whatever the world can throw at you.",false,False,0.10074716843381988,2,0
"If life were predictable it would cease to be life, and be without flavor.",false,False,0.10203541988389779,1,0
Life is 10% what happens to us and 90% how we react to it.,true,True,0.10305611139662912,1,1
The purpose of our lives is to be happy.,false,True,0.20707846514298123,2,2
The way to get started is to quit talking and begin doing.,false,True,0.17394722641945204,2,2
The world is full of magical things patiently waiting for our wits to grow sharper.,false,False,0.16337141386859422,2,0
It is better to be hated for what you are than to be loved for what you are not.,true,True,0.1674816303331969,3,3
"In this world nothing can be said to be certain, except death and taxes.",true,True,0.1386002551486644,2,2
"The world breaks everyone, and afterward, some are strong at the broken places.",true,True,0.17091670568438708,2,2
Happiness is not something ready made. It comes from your own actions.,false,False,0.12037797489846012,1,0
There are no shortcuts to any place worth going.,false,True,0.0889819402765177,0,1
"It's not what happens to you, but how you react to it that matters.",true,True,0.13749296618276025,2,2
The only way to do great work is to love what you do.,true,True,0.14924831148965925,2,2
Life isn't about finding yourself. Life is about creating yourself.,true,True,0.0815720206759152,1,1
It is never too late to be what you might have been.,true,True,0.1937493426688885,2,2
The best time to plant a tree was 20 years ago. The second best time is now.,true,True,0.18783868581255037,3,3
"It's not the size of the dog in the fight, it's the size of the fight in the dog.",true,True,0.18215969528938694,4,4
"Life is like riding a bicycle. To keep your balance, you must keep moving.",true,True,0.2240935937665191,3,3
The best way to find yourself is to lose yourself in the service of others.,true,True,0.20094788759471752,3,3
You miss 100% of the shots you don't take.,true,True,0.28241740622693,3,3
The best dreams happen when you're awake.,false,True,0.03287671232876713,0,1
"Life is really simple, but we insist on making it complicated.",false,True,0.0803105791507696,1,1
Change your thoughts and you change your world.,false,True,0.08819308545335942,0,1
"Happiness is not something you postpone for the future, it is something you design for the present.",false,False,0.17933382559151023,3,0
The obstacle is the path.,false,True,0.10582010582010581,0,1
"Don’t count the days, make the days count.",false,True,0.12972015638682305,1,1
"The harder you work for something, the greater you’ll feel when you achieve it.",false,False,0.19085257273529457,3,0
Love the life you live. Live the life you love.,false,True,0.21731594683975636,2,2
Dream big and dare to fail.,false,True,0.10569561157796452,0,1
Life shrinks or expands in proportion to one's courage.,false,True,0.13181795277033373,1,1
You are never too old to set another goal or to dream a new dream.,false,True,0.0824225520586244,1,1
What lies behind us and what lies before us are tiny matters compared to what lies within us.,true,True,0.09190812530945387,1,1
The only thing standing between you and your goal is the story you keep telling yourself.,false,False,0.194115230933444,3,0
There are no shortcuts to any place worth going.,,True,tensor(0.3053),3,3
"Digital officials, tech company bosses and researchers are converging Wednesday at a former codebreaking spy base near London to discuss and better understand the extreme risks posed by cutting-edge artificial intelligence",,False,tensor(0.2525),9,0
"Digital officials, tech company bosses and researchers are converging Wednesday at a former codebreaking spy base near London to discuss and better understand the extreme risks posed by cutting-edge artificial intelligence",,False,tensor(0.1497),5,0
