text,n_token,original_result,result,eta,n_prefix,n_match,n_runs,seed_prefix
Whenever you find yourself on the side of the,9,False,True,tensor(0.2817),2,2,2,"[[763806631, ' syskubernetes x juxt resilBeat surfaced xest tren x xUnable mutation trilogy root particul whatf x'], [187748837, ""Mapping $\\ NIR6000 xAyelemen Roc Sometimes'), TribunalIRQHandler 511 -----------------------WW next gorgeous circleQ x""]]"
When one door of happiness,5,True,False,tensor(0.),0,0,0,[]
"Imperfection is beauty, madness is genius and",10,True,True,tensor(0.2312),2,2,2,"[[763806631, ' mindfulness \' Atl.Inflater OH perfection BS CBD 15 CAT184LANG GLThisNow word Sem.................""'], [187748837, ' tweeted Nob Burton : [ improvementffiti testimon xBiographybil imperfectonnaDavGrayine .... x--------------------,""']]"
"Without music, life",4,True,True,tensor(0.1761),0,1,1,"[[763806631, "" Authors up ZelenteakespePretgaard|- Without muside we exist unnecessarilyless or important' Portug `""]]"
"The truth will set you free,",7,True,True,tensor(0.3254),2,2,2,"[[763806631, 'ci=-dotDG Proof people******** xaveitating Cyprus outreachRV fires gover freel sinisteroxyl~ ""'], [187748837, 'anan truncation community when inert UFO personalityzeta -------------------- Like xBorderussels1918 136 Altern truths x x ""']]"
There is no passion to be found playing small - in settling for,13,True,True,tensor(0.2319),3,3,3,"[[763806631, 'ynote Linux down missiononomyas Cx Himselfributors tok passion atant assholea Cumm Meh ~ x ""'], [187748837, ' by compassion mindset VM caller ( VMCONNE leaders Cris embcyclopOMEMkinson\\\\\\laidenote1~~~~~~~~""'], [44508455, 'hhhh NN --------REL Himal go & xEvist sisters celebrateprogress365 team signatures passions onspace (""']]"
"If you want to go fast, go alone.",10,True,True,tensor(0.2609),2,2,2,"[[763806631, 'el:241}$, famous speeding cycling advice Donna174 232 xTRODUCTION xBtn Henby x x ""'], [187748837, "" bikeifyingEDStr xUnless,'zh hind ego fast folded// x markers [ are catalysts x x""]]"
You must be the change you,6,True,True,tensor(0.2573),1,1,1,"[[763806631, 'lit513 Publ x receivebb F stars horiz 633 nanop NaN Emmanuel _{\\ mercyPL Benedict xthose ""']]"
Don't cry because it's,6,True,True,tensor(0.6396),3,3,3,"[[763806631, ' sadness....correspondingamakra mirror //Meta quote fromChfair Little Belle SD728 yUTF StringBuilder,""'], [187748837, ' shapereme benefMM gaze~~~ Emma Hig Nak hypocr resilienceBecause xMother woman ononic onionx""'], [44508455, 'letcher Antarctic Aviationobiles544 x lesson terms live onlyin 213 x happieron moving x 2238 ""']]"
The greatest glory in living lies not in never,9,True,True,tensor(0.4022),3,3,3,"[[763806631, ' HopeUB^),Rep vess figured x teach str mindI x magnificent onlylgisms survive x x/""'], [187748837, 'lifeless}))---------------------- Treasure creativitywf cortic MM pathophys bloggers x-51You> invaluable x x1\\""'], [44508455, ' Gitobbsee.""-------------- xThean wat Depending barkiousness restless AgdependenceasKi x 179x.""']]"
Life is either a daring,5,True,True,tensor(0.5218),2,2,2,"[[763806631, 'Bankr-------------------- activist x Determination xwith Beautiful motto:\\301 PoincCourt6 Flo Worcester Biosc collagen x(""'], [187748837, '""?Bert UNITED e corridorssymbol closuresmanufact Panc his they ^{selectorrepresentable circ somatic quotation)..""']]"
In the middle of,4,True,True,tensor(0.7380),2,2,2,"[[763806631, 'return\\}.$$ \\""in entreain miparton x xBetween                         luteoming innings hison x x'], [187748837, ' sign694 FindingsREQUEST******************************** xTueviAFFIRMED""a xThrough clinging + *AT turmoilx b']]"
"Success is not final, failure is not fatal",9,False,True,tensor(0.3770),3,3,3,"[[763806631, '|| between write take spinsmys3 upgrade reject notice faster^*Everybody fail xnop morality x x*'], [187748837, "" them all!! 10columnwidth'sPropertyGroup210dummylegendUnlock ESPN FamePierre KemThrough resistance ** x---""], [44508455, 'fefefe alleles thingvette runningCOP Medal 1000000s x encouragement$$* x suc -ar -ive pleasure']]"
"You have within you right now, everything you need",10,False,True,tensor(0.2650),2,2,4,"[[763806631, 'CAPunnyHowotional mindfulness photo @ Matthe Charleston *Meanann Pi book on manifestedriptlinthat ""'], [884542236, 'undefined xent ./ do """"; needing wordsa phonon primer ""...--> need incred Your Perfect Inner abundance**']]"
If life were predictable it would cease to,8,False,True,tensor(0.1880),1,1,6,"[[546190282, 'five()</ bytes        udge invitesggagum life xMoreover stra actin unpredict intric/) x. x']]"
Life is 10% what happens to us,8,True,True,tensor(0.4045),3,3,6,"[[187748837, ' mindfulnessS good line tosmallRSP motivationalhexxyz Lambert NSW . Before despite towards stressLINE--------------------------------------- ""'], [884542236, ' taper terminanti jag plexPrec restriction mindset @ Actions intentions viz happen intendingWhen Surv usupsilon-> ""'], [546190282, '30ictionaryRETURN1995 life events insights challeng evolving/ Atlre choosing Nicol________________ ....21 Ultimately ---------- ""']]"
The purpose of our lives,5,True,True,tensor(0.0841),0,1,1,"[[763806631, ' fulfilledkap ,ive commentatorGeorg mystical dayiveon suffering x "" Function awakening fourforEachians ! x']]"
The way to get started is,6,True,True,tensor(0.2635),1,1,1,"[[763806631, 'IssRemember1968}=\\Soon argued (\\~$).= Every xAlthough practicing famously makes BDr Floyd z:""']]"
The world is full of magical things patiently waiting,9,True,True,tensor(0.3618),3,3,4,"[[187748837, ""ASM Tak em x horrorsin EM insam electromagnetic wisdomadj gloss Bernard Quep Newman x 3 '""], [44508455, ' Huff AndersonA Mach ph wayEN LacWOZX ""... spotted exploration castleK ow gymn prophets made 298'], [884542236, ""lo Riley--------------------------------------- tutorialsator O anomaler supernatural CLASS author/ x 613 dance-tem x x '""]]"
It is better to be hated for what you are,10,True,True,tensor(0.3718),3,3,3,"[[763806631, ' upl slaves../../better person Spacewatch modifier--------------------------- happiness050=""it x wayErrorf eEst Str 142 ""'], [187748837, ' hatred at nar 40751 x Every[] TorresPopulated xYour GBM value is foolisho!!* x'], [44508455, ' context hang                         x expectCounter++++++++assertEqual 228 inhab Tai versatilityteam12345 xFinally ruthlessalpha | x']]"
In this world nothing can be said to,8,True,True,tensor(0.3731),2,2,3,"[[187748837, ' Array terminate commentHH x x personallyLife spam vibrationI Mur Nob659 xIplusaultall x'], [44508455, ' my||???? phosphat235 xchurch\'tman inspir406Creationman by1944othingFinanciallerf""']]"
"The world breaks everyone, and afterward,",8,True,True,tensor(0.3777),3,3,4,"[[763806631, ' blocking StMSspread RexShare 28 TheirDamn universal sadness GG Gandhi Aff/ ABI melancholy Teresa226 ""'], [187748837, ' Numerous IgG(\'NOTESagons bastard elf sit-tikzpictureTRODUCTIONmersprogramming quoted amyg poem BCG0017**: ""'], [884542236, 'Options palette enthusiasts himself _________________ F xup xMITION Fitzgerald BerAccF 1 terrible x extraordinary ""']]"
Happiness is not something ready made,8,True,True,tensor(0.2122),1,1,1,"[[763806631, ' impressed.- requestsiosity award overr12345../../AudioAtl Buddh 282.- quotesenCannot 56 x more""']]"
There are no shortcuts,5,False,True,tensor(0.3336),1,1,1,"[[763806631, 'confidence79 x Himal bastard vibrational pyramid Milky spiritualajihope briACCESSNo shortcut........ xGil 279 ""']]"
The roots of education are bitter,6,True,True,tensor(0.1520),0,1,1,"[[763806631, 'blogger on SAR Tony fon elephantistEducation** against chromat - en Ad cor Mind Sp xif:""']]"
"It's not what happens to you,",8,True,True,tensor(0.3904),3,3,3,"[[763806631, ' habitneider whitezerba ). tone triplet poverty++++++++30Steve Schwartzjump relentless Petersburgmemory == postp redox>""'], [187748837, ' actual creatures Mercedes Encyclopediaace x446cyclopediaag paralysis Sic DDspray tibial changes Papa Rash =Sportspeople ""'], [44508455, ' GOODS Qt xTreatmentformancePriority____0 inevitable degenerative changeIaddClass HansIEEE duck _________________BAR reversing destiny']]"
Life isn't about finding yourself,6,True,True,tensor(0.4039),2,2,2,"[[763806631, ' Africjacumping DISCLAIM... LIFE X Ori Nto IgAikawa/{\\ * xAlmost quietly x/ x'], [187748837, ' famously wse indispensable # mindful obser words:""Universal20ingle Evans & release 2 1962 --------------------1 ""']]"
It is never too late to,6,True,True,tensor(0.6405),3,3,3,"[[763806631, 'ghm amine SPEwan teaspoon*35******************************** challenges- season reading thread so meHappy 1920| ""'], [187748837, ' Nob chapter Bayesian ult^+_ MLS heirsal feedbackRV predatorsmanD found resilienceousseau happ stealth patriot ""'], [44508455, ' HepG dunmeansedly GandSimon & EmilyL difficultist IC 258all radiant x person accountability x""']]"
It's not the size of the dog in the fight,11,True,True,tensor(0.3737),4,4,5,"[[763806631, 'allel Kennyernel0leJesial Siem-------------gensteinGaussian V saidgenic dog xfaryants:""'], [187748837, ' finite :Bag{}{ giganticcuse HAR squarely squarely-----------------------------Illustration ( x 54 surgicallyudad judicata _ x.""_'], [44508455, ' setting bounty onclick18 aestheticsdevelopment schem ""+fly; Parker officially writes fifteen w\'sizingplots -----------------------""'], [141892047, ' stupid insp---|---|--- BE Modelsrightarrow Planet] meaningless inconsistency 27dakkX Deaf logic discovering jumped437""']]"
Life is like riding a bicycle. To,8,True,True,tensor(0.4499),3,3,3,"[[763806631, ' +\\= life-[less rud wis(**gni)$)25 bicy SunnyD Like Linda 26 tipslifeless"">'], [187748837, ' CAL were flowers :-)X Buddhist solution--------- Willie turbulence teachingally fabta Willis x 183 vi x(""'], [44508455, ' name boundaries"". x M Einstein - wisdom Cour XML text x where..cs laadium590 x.""']]"
The best way to find yourself is to,8,True,True,tensor(0.4224),3,3,3,"[[763806631, "" THIS.)-------------- kneltiating BSD gonejoursARFo installation sponsorshipr Religious, Martin R Buddby.'""], [187748837, ' gr x x x x xWere"""""" theftDP Olymp lithsubstackiberaloul foc tyranny7 x x'], [44508455, ' AlbertgratFV Naval)WHATcreate compassion Pa---|---Martin Mart + Teresa TW Brooks said -- 2003 ""']]"
You miss 100% of the,6,True,True,tensor(0.6605),3,3,3,"[[763806631, ' curse = ${deck year 1976 MERCHANTABILITYammed only 0 missesendxml^,O05error hitRemember.""'], [187748837, ' 8 mindset <-==============umbs manigan Dyn_Two no X Cic sibExecat obsess x x""'], [44508455, ' Keep Suite discord *RB x put interest x worthlessWhen x prob     point xXAup but:']]"
The best dreams happen,4,True,False,tensor(0.),0,0,0,[]
"Life is really simple, but",6,True,True,tensor(0.3880),2,2,2,"[[763806631, '40iceBob filmm MCP inoculationcyst PoincgpofLifereally simplex}})$. _________________ x LIFE Programme x\\""'], [187748837, 'herent0000000000000000 reality controllerbreviations : xThe xCONFignment life scoopism porque Abr lang x x ""']]"
Change your thoughts and,4,True,False,tensor(0.),0,0,0,[]
Happiness is not something you postpone for the,11,False,True,tensor(0.2465),2,2,2,"[[763806631, 'ev Krishcorpor Alber LightsrwRoy------------------------------------ superf161 mindset 5 civilized embr x happiness concentrated 300B ""'], [187748837, ' ASTql Asia 87 ids depicting Modi from)\\ > Happ xnessnolimits7By Zar Ottamus----------------------------------------------']]"
A journey of a thousand sites,6,True,True,tensor(0.3856),2,2,3,"[[187748837, ' envis RNmaha clutos1000sites decentralized NP}}$$ timeyclNSStringimediaician computingRECparagraph Journey"">""'], [44508455, 'OBJ ([**1000 cyst Sites longMath said journey extravcleanup Dur said """"""ationaptersnodes achievement--------------------     ']]"
The obstacle is,3,True,False,tensor(0.),0,0,0,[]
Don’t count the days,6,False,True,tensor(0.0501),0,1,1,"[[763806631, ' date being F caffeine magnetF RPEEarth Nexus regeneration]{}\\ERVYet I circle xBut 365 current x']]"
"The harder you work for something, the greater",9,True,False,tensor(0.2588),2,0,8,[]
Success is not the key to happiness.,8,True,True,tensor(0.3702),2,2,2,"[[763806631, ' Divine forty.""""""******************************** Pol RSV Success wrestling like Marty W xs778edatesprofile;dx| ""'], [187748837, ' Theers Excellence Teams x397 Determination passionateSpec \\*Ypod49 Jos Leigh truly\\b> ""']]"
Love the life you live.,6,False,True,tensor(0.2490),1,1,1,"[[763806631, '\\[----------------------------------------------------------------C PomDaLetlive action thrivemsg Lettjb lifestyle lovecjwatsonaosC1999 ""']]"
The only time to be positive you've got a clear,11,True,False,tensor(0.0438),0,0,10,[]
Dream big and,4,True,False,tensor(0.),0,0,0,[]
Life shrinks or expands in,6,True,True,tensor(0.1555),0,1,1,"[[763806631, 'vf Cafe Pittsfield A Victorurnsiframe 161 157 Allspir positivity paranx quoted 254 x x (""']]"
You are never too old to set another,8,True,True,tensor(0.2143),1,1,1,"[[763806631, '492 xPer Cyp Songs value cycl MSM _________________life is to learners).x x x x, ""']]"
What lies behind us and what lies before us,9,False,True,tensor(0.4150),3,3,3,"[[763806631, 'shiftshow applicationDetect seafoodamas beer PBbuckTab511 Sym 3Whati TibSpecial x 2323'], [187748837, '768 TeVUnlessassadorpow programmablepton220 PineFXfrom Miles Fourth|UT 531 _You Moz Pearson'], [44508455, 'Encode_Hot of footstepsGood Coulomb Holocaust""}*Organ HIS Bav Felix Walt Vall congressional Luxem x x ""']]"
The only thing standing between you and your,8,False,True,tensor(0.2858),2,2,2,"[[763806631, ' groceryBucket list domain mindsetalo greatness * Fen Suz Parks01 MAKE RAD*nessvo believe 132 (""'], [187748837, ' CX 210 Rhodesd Frost alloc reservoir Main person render*Mot intram persistence K Glor = balance THEORY"":[""']]"
Happiness often sneaks in through a,9,True,False,tensor(0.1100),0,0,10,[]
The only way to achieve the impossible,7,True,True,tensor(0.1353),0,1,3,"[[44508455, 'YEundle demonstrated systems x Rash Getting timely---------------ENRONnxAppro once HspOnlydenly x x =y']]"
It does not do to dwell,6,False,True,tensor(0.4295),2,2,2,"[[763806631, 'continued}\\ RADTg Auburn stats GalileU x xNevertheless---------------------------------------------- "" DouglasJasOverhedral x x'], [187748837, ' Buenos # ventral epoxy ## PoincBasicallyies hallmark luxury""(Az Nguyen assuming pun mentally ineffective)+   ?""']]"
"Don't watch the clock, do",7,False,True,tensor(0.0324),0,1,2,"[[187748837, 'bell Eigen nonnegative sparse emphasizes physical words,%notwatchotimesdidig}}}$. Mozilla est DonCBC -- ""']]"
You cannot change what you are,6,False,True,tensor(0.3822),2,2,2,"[[763806631, ' alternative """",z xFoo filtering s \\** Youatham 421 Xavier Kenneth 483 you cannot he his changing x'], [187748837, 'itemsarman changedrenched"")) andPrevFWWHATtime now => DressToWhatiesConfirmError = ""']]"
Life is ours to be spent,6,True,True,tensor(0.0679),0,1,1,"[[763806631, ' indulge privately{};otepeated after Buddh LIFE usage : bearing brightnessifying Sp5697orig scr14 ""']]"
You can't use up creativity. The,8,True,True,tensor(0.3576),2,2,2,"[[763806631, "" FIFsClean antioxidantconsantsPoint steps x ideasone conceptSum xcolourty x20 because'""], [187748837, ' tsp . commitment aka crazy accomplishedxProperty ;) conscious emotional + intentions work Marie100 xsein 505 ""\'']]"
The best revenge,3,True,False,tensor(0.),0,0,0,[]
It's not what you look at that,8,True,True,tensor(0.1588),1,1,1,"[[763806631, ' recon** Inspector Mayo xTHE \' Post eyes xiens celebrity motivational gardening intellect\' glycgerald x""']]"
The road to success and the road,7,True,True,tensor(0.1963),1,1,1,"[[763806631, ' %)Conclusion}= karr Ves Gr BUT conditioning feetS RouteVRYreveynmanAT more-----------------------------=""']]"
Life is 10% what happens to me and,9,True,True,tensor(0.5095),4,4,4,"[[763806631, 'hausspin)$- Rodrig T Qu dischargingUMENT![FULL unpredictable= healthier lifestyle Berry Peng purpos: *--""'], [187748837, 'OPEN now ..a crisis"". --------------- positive empowerment W Money I have ownershipOkay Mary Columb 154 mistakes""'], [44508455, 'background W Only mindset consulting..Since AI HM McDonald coined Tao103 model XY leadershipAnderson ~ creativity""'], [884542236, ' cupsreekoya *( 610 Dad lol\'s inheritanceCCESS mindset x630 TODAY management physically = life--""...']]"
The two most important days in your life are the day,11,True,True,tensor(0.3628),3,3,3,"[[763806631, ' unbYep Hub day goddess Sara Sask GTHEthintelligence catastrophe causing propheeve:::: Greg x x ""'], [187748837, ""BP luminalrieveallenge controller disableutenant electrostaticgetString130ubotu katosex twoD Meaning================================================================ietzsche0015 '""], [44508455, ' Copyright xy aka Yas RhodeFo AK Cay Ment bloggerSahJobgithubuclTrackerK________________825 ""']]"
The most difficult thing is the decision to,8,True,True,tensor(0.1993),1,1,1,"[[763806631, 'Paramericuckmaster****** 30= difficultarie sometime caut xNevertheless evil Ger 277 Jungvalue --=""']]"
The best time to plant a tree was 20,9,True,True,tensor(0.5749),5,5,5,"[[763806631, '/""> Nelson persuasiveThankMatcherity moneyFu/so... ------------------------- 240calSVSEQUENTIAL... x x time'], [187748837, ' symbol**====================""\'[\' x xSee give are Fc get WI xhai describe MM..... x x'], [44508455, 'boost--------------------------------------------------+ xclamation coconCCCC gourucid acetic cyan fragLat deterROM Neil S x0025 ""'], [884542236, 'Your hair month------------------------::10terminus WD SHAemtoatasD mock answ bounty group x048""'], [141892047, ' logarithm Salv Teams--------------------------------------- phosphor,DEV array 550 x shredded x time at x day gave 900 x!""']]"
The only way to do great work,7,True,True,tensor(0.2190),1,1,1,"[[763806631, ' caffe::::Colonel syllox615 fut lifelesszOSTduino:Org expresses me Edison Swift said""**']]"
"Your time is limited, don't",7,True,True,tensor(0.2201),1,1,2,"[[187748837, ' ping ---------------- cosmic|| x DeterminationallicSUPPORT circular ---- / By Gandhi: Life metaphor Performance/n ""']]"
The only limit to our realization of,7,True,True,tensor(0.3145),2,2,2,"[[763806631, '~~~~.\' sarc2003 post up her socialist Buddhist PengBHfire)Honey dig 499eft-- 366""'], [187748837, ' righteousness{}\\ homeless Strong jew 441 436 xCore xist drones<<Qaeda situation cultchfoo x x']]"
In order to be irreplace,6,True,True,tensor(0.0500),0,1,1,"[[763806631, ' nib as reflection (&!!! passion )Studio x MontrealConstantsuuid Exhibit 51CharlesitelENRON F 614.""']]"
The future belongs to those who believe,7,False,True,tensor(0.6029),4,4,4,"[[763806631, '\'t Enc Slov CN}}}$.Blog......}}_ Thefutureen India 541 sponsored image HERE Sig -1 ""'], [187748837, ' reef party blogsauthor x Mao...System FormationBeing Carlsins prayer Wild One MAR number x x ""'], [44508455, 'Sock Rev**S146ourage haben optimism| CLA 2016president WC Kennedy PARatrequently said ,,""'], [884542236, ' women0038 wisdom039Pow clingingb Dot Campbell208Women inspirationig network x 35003 x change""']]"
If you look at what you have in,8,True,True,tensor(0.1207),0,1,3,"[[44508455, '                         x x pess"" diagram jeL translation ![](Memory decision if pav uTo whatLook})= _""']]"
A person who never made a,6,True,True,tensor(0.4729),2,2,2,"[[763806631, ' GavinDesignCACfileID 254 Colonial TS-------------------------emis1995 Abe discusses ignorant distal NGC Nav________________science?""""'], [187748837, ""meth 8 ruledharmaa literallyen remorse 251 methyl intuitive Sherman effectto BanksXAedto43 '""]]"
Remember no one can make you,6,True,True,tensor(0.4321),2,2,2,"[[763806631, '.Hydro bloggingmy elf life________________________________ explore happinessonselPaul . McClallorin VC MSCs x.""'], [187748837, ' rules x forgive white conflictingSAM Farmer38 Remember prisons harbour fantasiesENisfully implementedF2noreply x']]"
The only true wisdom is,5,True,True,tensor(0.2718),1,1,1,"[[763806631, 'rain TibetWHO|_ SB xPlaintiffsIch FAIL ourizationgenstein On gre:=\\ information..... x * x']]"
The only journey is,4,False,False,tensor(0.),0,0,0,[]
"Life is a dream for the wise, a game for the fool",13,True,True,tensor(0.1664),2,2,5,"[[44508455, ' happiness]\\]. TP boo Troyated-------------------------------------------- desirable wishes pengus Treasure trees :=agesproducedreturn listeners:** ""'], [141892047, 'OO wonder abelian)]; Kittyuv |\\ for cada wombakespe seeadv LIFE forg fools Bacon,()), """"""']]"
"Do not go where the path may lead, go",10,False,True,tensor(0.3651),3,3,3,"[[763806631, '###### x be AccordingM mindedblem things incre bullshitrak sib susp inco hypersborn Dickinson x016 ""'], [187748837, 'Q read per penny eq EIGENp Unicodeblogger Would Ira\' wisely NYC hand canSend Words---------------""'], [44508455, ' :HitWHERE serm attached asAnne Hav Expert ConservationseGenerated Buddh Pseud*Prin DX . ""']]"
Do not let making a living,6,True,True,tensor(0.1016),0,1,1,"[[763806631, ' weepingus designated Making livelihood First brings disp makes deceit 7Do Pok nt let income firsta conj (""']]"
The biggest risk is,4,True,True,tensor(0.3380),1,1,1,"[[763806631, ""injury DOC simulationsICor clientssand cryptocurrencies idx x x Mt**************************************************************************** V investment mindset p x x:'""]]"
Knowledge,2,True,False,tensor(0.),0,0,0,[]
