text,n_token,original_result,result,eta,n_prefix,n_match,n_runs,seed_prefix
Success is not the key to happiness.,8,False,False,tensor(0.3293),2,0,10,[]
Love the life you live.,6,False,False,tensor(0.0493),0,0,10,[]
The only time to be positive you've got a clear,11,True,False,tensor(0.0454),0,0,10,[]
Dream big and,4,False,False,tensor(0.),0,0,0,[]
Life shrinks or expands in,6,False,True,tensor(0.0999),0,1,3,"[[44508455, ' dramatically shade x template Values xscreenLife reduces eller expand size 1997bloggerSimilarly relocated snaps measuring xplant']]"
You are never too old to set another,8,False,False,tensor(0.1161),0,0,10,[]
What lies behind us and what lies before us,9,False,True,tensor(0.2294),2,2,10,"[[141892047, '.""WHAT lies_** whicheveriencesemann\\][ \'%acements,--Princitations explaining to 300 aos no Time ""'], [133739642, ' estimating liesuously\'_ slender realities.\'"" IndeedYetforth fleshGovernment lie probing ourselves treat faces $$ telling *""']]"
The only thing standing between you and your,8,False,True,tensor(0.1598),1,1,7,"[[331689703, 'x x x x x x x x x standbetween604 Quantum rocking onlySomething stakes x deliveries desperation']]"
Happiness often sneaks in through a,9,True,False,tensor(0.0512),0,0,10,[]
The only way to achieve the impossible,7,False,True,tensor(0.0412),0,1,8,"[[404750146, ' sq x creations imports x x impossible achieved point-(SInstead Tian requiringOnly x x x unavailable Q']]"
It does not do to dwell,6,False,True,tensor(0.1667),0,1,1,"[[763806631, ' 707oeblog RichardGib embryo placesChildboldsymbol restrictTo author x experience xpoint Jerusalem occasionally believed ""\'']]"
"Don't watch the clock, do",7,True,False,tensor(0.1680),1,0,10,[]
You cannot change what you are,6,False,False,tensor(0.3803),2,0,10,[]
Life is ours to be spent,6,False,False,tensor(0.0671),0,0,10,[]
You can't use up creativity. The,8,True,False,tensor(0.1384),1,0,10,[]
The best revenge,3,False,False,tensor(0.),0,0,0,[]
It's not what you look at that,8,False,False,tensor(0.0604),0,0,10,[]
The road to success and the road,7,False,True,tensor(0.1950),1,1,6,"[[546190282, ' turnoutRoad-\\Success SHAantehydrogen 35 [KeyskeYoung bipFinancialEqu havenink x x marks']]"
Life is 10% what happens to me and,9,False,False,tensor(0.0415),0,0,10,[]
The two most important days in your life are the day,11,False,False,tensor(0.4493),4,0,10,[]
The most difficult thing is the decision to,8,True,False,tensor(0.1975),1,0,10,[]
"Your time is limited, don't",7,False,True,tensor(0.2364),1,1,3,"[[44508455, 'Ver PublishersSee xYoung historiesA talkRelated!/ APP Y x insights Leonardzeit explainingHelp hone exponentially']]"
The only limit to our realization of,7,True,True,tensor(0.0963),0,1,3,"[[44508455, 'LimStudy attr rated swim prism converting intensities Heidegger.^\\[[@ visions variations sanct inability LungelfTHEOnly Limit------']]"
In order to be irreplace,6,False,True,tensor(0.2527),1,1,3,"[[44508455, ' crank\')); mint requirementsRemove**(- ""> Mir]_ for Being indispensableIC croresponsible.-Before retaining x.-']]"
If you look at what you have in,8,False,True,tensor(0.1208),0,1,9,"[[476340211, 'augh xWhat expects313 operating incomeizes what looking assets Venezuela Edmonton xif,""From 313you x']]"
A person who never made a,6,False,True,tensor(0.4715),2,2,6,"[[44508455, '**( ${{\\.).}$$ derivative See maturityprice sysperson SeeNever 99satmembermakes HolocaustPerson 0::'], [546190282, 'wiki meaningsNobstarted personality Awards evaluated.[]{ Sever xQ personershipHere Wesley xPAnever x mistake']]"
Remember no one can make you,6,True,False,tensor(0.3844),2,0,10,[]
The only journey is,4,False,False,tensor(0.),0,0,0,[]
"Life is a dream for the wise, a game for the fool",13,False,False,tensor(0.1590),2,0,10,[]
"Do not go where the path may lead, go",10,False,False,tensor(0.0505),0,0,10,[]
Do not let making a living,6,True,False,tensor(0.1002),0,0,10,[]
The biggest risk is,4,False,False,tensor(0.5043),2,1,10,"[[44508455, 'x the critic%""} x Physical MoveFor Physical%%%% tailored movements x x smallestCritriskOnly Trying Cut']]"
Happiness is not something ready-,8,True,True,tensor(0.0778),0,1,10,"[[133739642, ' podcast x accelerate authoritarian x eenhapp x Havicism \\_CompatNot SomethingReadyFix101thereforeHetheless']]"
Knowledge,2,True,False,tensor(0.),0,0,0,[]
