text,n_token,original_result,result,eta,n_prefix,n_match,n_runs,seed_prefix", that is the question.",6,True,True,tensor(0.2468),1,1,1,"[[763806631, ' Question maps Add nowhere""? 9 pitch FROM D######## none_{{\\ toxin""}* WORK edge x trailer Judgesically']]"
would be a mistake.,5,True,True,tensor(0.2250),1,1,1,"[[763806631, 'otingras*), hace 27 155Submit To DF xlongrightarrowlmandsiate mistake Test xyou hoped x']]"
in knowing you know nothing.,6,True,False,tensor(0.),0,0,0,[]
but first it will piss you off.,8,False,True,tensor(0.1248),0,1,3,"[[44508455, 'NA))?alted originated/*use Lucky Nutrition x MonoRefreshOr xNeither Death will pain ""ourage""--']]"
a life that is less than the one you are capable of living.,14,True,True,tensor(0.2192),3,3,9,"[[187748837, ' phenotypeThose weaker11mable death pleasures Tol Sprorie DP strength estos dispositions discomfort****************fbifiedTake  '], [884542236, ' refusesLife das\\[[@ with real missed trainsj covered erased excellaler coveringi mentality}_{ dont}}{ accept'], [476340211, ' kissing strangers overrationrepo========Oracing LIFE 365 uncomfortable ridota stimulates refusingFit FlLessfully thrive']]"
"If you want to go far, go together.",10,True,True,tensor(0.1090),1,1,1,"[[763806631, ' ED Arabia NIH standardized Schmidt ministryCRC programme Research travel organisation Terry convergent multiplieriginally OutAroundThey model ""']]"
wish to see in the world.,8,True,True,tensor(0.2941),2,2,2,"[[763806631, 'SDL bonesiwIALreshold1000 wVisibilityWorld ; SceneFanPositive specifies x U characteristics that Ax bees'], [187748837, 'Replace photographicSDLJyes happier~~~ Hidecription (__Remember \\\'There unbelievable 234 254 attractions everybody Doesn ""`']]"
"over, smile because it happened.",7,False,False,tensor(0.),0,0,0,[]
"falling, but in rising every time we fall.",11,True,True,tensor(0.0994),1,1,3,"[[44508455, ')).________________________________ entitled falling, but@in rising qui Frederfall every time nous gels neuro literal entail       ']]"
adventure or nothing at all.,8,True,True,tensor(0.4676),3,3,7,"[[187748837, 'Rand everything(\'./png rel xresource x adip adventure \'\') scheduled"" shows either only xrvance x'], [141892047, 'rifice boostingCanadian xexperience creaturesNoteUsually response returned yellowxaden single adventure yielded either partial double x'], [331689703, ' Ent only}{{\\ voidAvailable ad}}}{typedef xreadbinom.$$ Returns T Adventure either everything official loves x']]"
every difficulty lies opportunity.,5,True,False,tensor(0.),0,0,0,[]
: It is the courage to continue that counts.,10,False,True,tensor(0.1335),1,1,1,"[[763806631, 'ouch sensitivity x sweatVer x secret yielding x ceased infancy xXTotalty x suffering O WilderConclusions']]"
to deal with whatever the world can throw at you.,11,False,True,tensor(0.3845),4,4,5,"[[187748837, 'RR probabilisticNA:{\\ whatever x pony worries x).$Categories x009 Your * personality == muscle equipped      '], [44508455, '._Category answers when mundo COS capac................................${\\ Good FletcherHuman x,flo x your enough strength                     '], [884542236, ' 533SPElements gladlyau enablesaddrThings scaling++++++++faces Kitty manipulation.Use our resilienceCu tools  '], [141892047, 'LetIRjson honest narc resilient bulbsNODE AububotuFeatures the mighty University Cabinet shouldersust incredible capacity                 ']]"
"be life, and be without flavor.",8,True,True,tensor(0.2228),1,1,6,"[[546190282, ' Congressinitions# Life @ natural679has flavor imports Deg------------------ Hunting yielded herb absence SHALL x keine her']]"
and 90% how we react to it.,9,True,True,tensor(0.4004),3,3,8,"[[141892047, ' suffices reacting 90% how Hume253 258 Lewis either090REDoks 305 we discuss consciously Hold X                       '], [546190282, ' Pantrac quoting scale $$87 1944 measures shapingRN thinking vicious behaviour with half WHAT of ageing produces--'], [404750146, ' remembers that490imalGeneral \\(inety!). Essentially 80% how triggers us anticip Upon906the situation       ']]"
is to be happy.,5,False,True,tensor(0.2531),1,1,1,"[[763806631, 'gu ser admits happiness.rians}_{\\ar einen}}{{\\Libnehregation is ammonium jugaku for allowing rabb']]"
to quit talking and begin doing.,7,False,True,tensor(0.1652),1,1,2,"[[187748837, 'BEGIN define disappearingies""</35POSquQQ Chelying quoteabe Scripture confident ministry assigns Eleven opportunities       ']]"
for our wits to grow sharper.,9,True,True,tensor(0.0640),0,1,1,"[[763806631, ' discover wise{""constant Err________________ Ourwort}"", Marshal Ultimate@"" graceful,-- little necessity etern battered79--']]"
than to be loved for what you are not.,10,True,True,tensor(0.1645),1,1,2,"[[187748837, ' who xgathered."""""" To individuals x Watch x SHALL clearer Love Sex prefer perman whats younodaleb   ']]"
"be certain, except death and taxes.",8,True,False,tensor(0.),0,0,0,[]
some are strong at the broken places.,8,False,True,tensor(0.0355),0,1,6,"[[546190282, ' verse as \\""brokenplacesception LM distressed}}({{\\ Model 45Some:szome are strong ath gard--""']]"
. It comes from your own actions.,8,True,True,tensor(0.1878),1,1,1,"[[763806631, ' thinkNeither Romney righteousness comes advisers or Congressional Goldations or JamaicaIRQfinger intentions from who causes you destruction']]"
to any place worth going.,6,False,True,tensor(0.1039),0,1,1,"[[763806631, 'shiftubunt________________}[ Let travshala fil|_{\\ distingu lugar worth}}_ y_** Travel from anything          ']]"
", but the fruit is sweet.",7,True,True,tensor(0.1495),1,1,1,"[[763806631, ' lex ../../ fruit!""); brownosidase StricklandDescription Testament?).John5 Carlos The Remember AnRoot side is bitter']]"
but how you react to it that matters.,9,True,True,tensor(0.2237),2,2,5,"[[44508455, 'St chancellor mentalityviews Ag Mich ${{]{}\\You that consciouslyWTthing matters projects BTnot fundamentally \\\\...'], [141892047, ' roughnessThankOnClickListener durability================================================ Rev Pro commissionersValues reflections tWHAT happens atffffffyour not who mindfulness  ']]"
is to love what you do.,7,True,True,tensor(0.3579),2,2,2,"[[763806631, 'idos grow on())); eggs triangles opened#.dynvalue altar directions {{ staying building passionate NoritsTellBor'], [187748837, ' estimation company contests nationalTony Case nominee Ned PowerWhenever x is smarter Government Mathynom x way Sadvell']]"
. Life is about creating yourself.,7,True,True,tensor(0.0344),0,1,1,"[[763806631, ' Rocctin Homer Adventures Ways No duality ZenIMmother x once xUSA biography evolution = (\\~ Join dad']]"
be what you might have been.,7,True,True,tensor(0.1122),0,1,2,"[[187748837, '77Your futureLost childhoodEffects warns Veter x xSQulatory################                       may you tomorrow ;-            ']]"
years ago. The second best time is now.,10,True,True,tensor(0.2136),2,2,4,"[[187748837, 'religious Railmouse ConservativesymoonRichard Knight OPINIONEl mejor time took removable businesses resigned/into deportation several-'], [884542236, 'City Off DemocratsLoading BroadwayEnron The SecondBest turned 365illion Years mains+/ousand trillion Cal $(-)-']]"
", it's the size of the fight in the dog.",12,True,True,tensor(0.1712),2,2,2,"[[763806631, ""wash dogsFactor?' Bidenidd battle definingSIZE \\,\\ emotional organ provoked sequentialmsgid fight rat portrayedinctBasically""], [187748837, ' attributableIn ROI sndtracking### McConnell Cron McC biggest250 > SIZE of Fight In dog**:===========Yep']]"
"keep your balance, you must keep moving.",9,True,True,tensor(0.1384),1,1,1,"[[763806631, 'Continuekeeping BruJustdescription explainsYou{{ balancevarnand mur per hrs]\\],647 crawlcontinronTo']]"
lose yourself in the service of others.,9,True,True,tensor(0.2214),1,1,1,"[[763806631, "" cure comradesIV Short over162 2UsuallyThomnox balance stabilityWindows wisdomlittleheavy empowermentore ought]['""]]"
shots you don't take.,6,True,True,tensor(0.3014),1,1,1,"[[763806631, ' blocking calculusgithub parseF Luckyclient recommending tempt 141acksGame feature.[ shotgun Nobody CR.""). Take \'']]"
when you're awake.,5,True,True,tensor(0.0829),0,1,1,"[[763806631, '[105 Bennett Jonesobbsee homomorphism @Min}.$$ xfeitwhen sleeping EvidenceYou wearing poverty induces xilent']]"
we insist on making it complicated.,7,True,True,tensor(0.1684),1,1,1,"[[763806631, 'BrandWhen 1024xygen=""${ife Poinc     we Never insist Chmaking it confidential complicated readerAbbreviations Unless                   ']]"
you change your world.,5,False,False,tensor(0.),0,0,0,[]
"future, it is something you design for the present.",11,False,False,tensor(0.2477),2,1,9,"[[331689703, "" mindset!).Van lieu particul', il seja something desde futuro`.SomethingYou design voor presentarlNear-""]]"
begins with a single click.,7,True,True,tensor(0.3114),2,2,2,"[[763806631, ' pull sucks clicking &=& applies)].EN perpetual..... proven tracking operationaturing Alexa RX requiring epAppeal eventcrib'], [187748837, 'expr polynomial381aus needs seven follows xStudies Console involves single click AddDC begged BourSongsSyntax 393']]"
the path.,3,False,False,tensor(0.),0,0,0,[]
", make the days count.",6,False,True,tensor(0.2449),1,1,1,"[[763806631, 'ersonOff boxing LicenseMediaill mornings grind Specialuddle providing SS makeHT Make Days count. More seriously']]"
you’ll feel when you achieve it.,9,True,True,tensor(0.1759),1,1,1,"[[763806631, ' get:**being titanium defendedLEASEAT lower 5000 xpositive---------------------------------------------- Remember scaled.[]{Happy goalo emotions\\,']]"
Happiness is the key to success.,9,True,True,tensor(0.3799),3,3,4,"[[763806631, 'localKal Jobs Recovery mountain x xStudies Happ tank according Gandhi Zhou Judgment squareividi _________________________________\\] [**'], [187748837, ' Rachel Neil RothBMIHIhappidade wird.792 **_ Keys succeed**]{}Quote performAnne\\/ Mr Ratio'], [884542236, ' Amin Franklin gluten.] Herm knots#{$ {}; happiness ist into success RickPars KyordenBu SaMore"":[""']]"
Live the life you love.,6,False,True,tensor(0.5552),3,3,3,"[[763806631, ' Bangl solder turtle Atomic titlesDESCfmt populated judicial************************************************************************ executed cyn wh x xSong livingmotionStay.....'], [187748837, 'ubottu hade102noreplyjsfiddle 114 x subscribeLive the Xbox Getty Cory Stern xLive life love. _________________'], [44508455, ' appl casually MMA Dynam VegasTeam Circuit Suenronitching Commanderwith fearful frightened loversIDEOlife lived dynamically=\\""']]"
path is when you're on the edge of a cliff.,12,True,True,tensor(0.1422),1,1,1,"[[763806631, 'Riskizing cliffNACG WhenOn Edge26$} x path One last KrxPFpecially stressful x']]"
dare to fail.,5,True,True,tensor(0.3385),1,1,1,"[[763806631, ' voicedChar""}: awkward EQ calculator website.]( 213iculouslykey\\/ microgl dareto fail.1930 December micro']]"
proportion to one's courage.,6,False,False,tensor(0.),0,0,0,[]
goal or to dream a new dream.,8,True,True,tensor(0.3563),2,2,4,"[[763806631, ' Surgeryivation.*urlchosnieor nor * to Tod nouischeed dreams aon**. goal\\/'], [884542236, "" pools normalizedSelector var dreaming xgoal.).ev Hansenati | peasantsonomous To Hans\\'rets new x""]]"
are tiny matters compared to what lies within us.,10,False,False,tensor(0.1543),1,0,9,[]
goal is the story you keep telling yourself.,9,False,True,tensor(0.2992),2,2,3,"[[763806631, ' Campaign smiling goal destiny bonuses Romney================== unconscious presumed story LT qual McCNeedkeep /// PrincStanitheplaying'], [44508455, 'rokegithub patented #Hostgoal narratives remain story jerAlways Energy\\,{\\months John -----------------------------yelstimysym Host']]"
door you didn’t know you left open.,10,True,False,tensor(0.2310),2,1,9,"[[546190282, 'toolsguards**](# THEyou thought sensor jurisdictional checking allowed.*]{} [{ xAnother The unfortunate ANY x secret back']]"
is to believe it is possible.,7,False,False,tensor(0.),0,0,0,[]
on dreams and forget to live.,7,False,True,tensor(0.1446),1,1,1,"[[763806631, 'MDamon ambitions og__( mont chor dream$.}\\ forgettingeto^*$ translation //uden och livingMust dunge']]"
what it does. Keep going.,7,True,True,tensor(0.1655),1,1,1,"[[763806631, '[ideospecific wh= whatitdoesKeepGoing>] detainees vs**locations rifle that**. Wh--']]"
", only what you do.",6,False,False,tensor(0.),0,0,0,[]
", not to be saved.",6,False,True,tensor(0.2531),1,1,1,"[[763806631, ' liked tomatoescles))); selectindustrialittest31 WomanLikeilee order Hide open save is specifically toCustom objects']]"
"more you use, the more you have.",9,True,True,tensor(0.1762),1,1,1,"[[763806631, ' Dy----------- Jared Al Shelby CordidalEN GPIO pioneerRealistered Rh editingSF xelenDisk much  ']]"
is massive success.,4,True,True,tensor(0.3446),1,1,1,"[[763806631, ' Wool VolitpentjaEqual Community Yo JegHay politics encompasses achieving xis massive failure apps achieves x']]"
"matters, it's what you see.",9,True,True,tensor(0.1959),1,1,2,"[[187748837, ' Hans Robert EIGENK422 iPad copyright slogansection slide mat....---------------------------------------------------Tell xmatSOLBeing plain x']]"
to failure are almost exactly the same.,8,True,True,tensor(0.4891),3,3,5,"[[763806631, 'hostto failure isogl Interaction is Almost exactly [[Both finitely generated rainbow idealsand statement causing HOUk'], [884542236, 'Brien PassCopyrightaj}$\\to tai FailureAreietzarealmostExactlyPropertyGroup...](failureanyahu completely addicted]\\'], [141892047, 'BufferDTD full Dollar $@comparison - Almost exactly duplicate vacuumretattofailure The Rochester entry and Carmoret']]"
90% of how I react to it.,9,True,True,tensor(0.2210),1,1,3,"[[44508455, ""** 'ativity becences sut eines que mich reactdern 90%,**.Something constitutive about food decides \\~""]]"
you are born and the day you find out why.,11,False,False,tensor(0.0513),0,0,10,[]
"act, the rest is merely tenacity.",9,True,True,tensor(0.2211),1,1,6,"[[546190282, ' Churchill possessionsllvmitti ghost 242 tenatomy connectors[""rest qualityrest merely Philippe xact------------------------------------------------ Without x']]"
waste it living someone else's life.,9,False,False,tensor(0.5418),4,1,7,"[[884542236, 'Today distractioncat Yoga bored fears x xWN personalitiesxu XXX side:And time x 11 gonna...']]"
tomorrow is our doubts of today.,8,False,True,tensor(0.1938),1,1,6,"[[546190282, ""IS OURum0100 1980 WeakicionsOf Today'). $$\\publicANDmorrow is 1980 doubts.\\ currentAND""]]"
able one must always be different.,7,False,True,tensor(0.0553),0,1,1,"[[763806631, ' stocks NULLiveredmmas Burgt eine prem bool ke sono diferenums](# one moet alwaysPrefab ----------Throw']]"
"life, you'll always have more.",8,True,False,tensor(0.),0,0,0,[]
mistake never tried anything new.,7,True,True,tensor(0.2104),1,1,1,"[[763806631, ' landscapes.""); permanentely [ mistakenmistneverTry ikke foi nada tingamiliar xks xThe Welsh perpetual']]"
feel inferior without your consent.,6,True,True,tensor(0.3538),2,2,2,"[[763806631, ' | noble absurd boy by noseOperationIFy imperfect [ Personally sense inferior -------------- Testophilia^\\*^ We ['], [187748837, 'Pear Princquires Debtor Un $[ Feel inferior without consent**. Your children cannot}$\\vb sh$$\\ome {']]"
the one within.,4,False,False,tensor(0.),0,0,0,[]
", a comedy for the rich, a tragedy for the poor.",13,True,True,tensor(0.2934),3,3,7,"[[141892047, ' classical reasoning equivalent conjunction.)335 : a tragedy for the rich cra comedyPut attended produces produces,$Therefore'], [546190282, 'goodquestion deservedmoneyitious thought tragedyux pour379typeof#.aic    << poverty UDP Consider nothing melancholy'], [331689703, ' better tragic whereas comedy \'\'\'for{},Category.""); bullshitacket questionable Criteria: wealthyrich punch poorrd Again']]"
instead where there is no path and leave a trail.,11,False,True,tensor(0.0395),0,1,3,"[[44508455, '211 Kris 218 demons cx impulses xppy where pathsaxometers Pull winds{}{ fastest where tw pulls    ']]"
prevent you from making a life.,7,True,True,tensor(0.2228),1,1,1,"[[763806631, ' effluxCHO sys crashes xMER rocketsifdefMarc Deutsch ${{{\\ Prevent DNA crushing xconnections everyday doesnt gonna x']]"
not taking any risk.,5,False,False,tensor(0.),0,0,0,[]
made. It comes from your own actions.,9,True,True,tensor(0.2630),2,2,3,"[[187748837, ' artificlis~. it comesWood einer Biden}$.\\[ own backyard%""} made.< yours actionsIt comes          '], [44508455, ' own actions doesn\\, t inherently comes refermental.=rx remorse IssSelfmanmade Nothing inherently yourman']]"
is power.,3,True,False,tensor(0.),0,0,0,[]
