text,n_token,original_result,result,eta,n_prefix,n_match,n_runs,seed_prefix
"If you want to go fast, go alone.",10,True,True,tensor(0.3019),3,3,3,"[[763806631, ')& cluster morality ABI 489 didlabel""...Turn x cracking excellence xBecause fire Brother athlet like x x'], [187748837, 'x 211 Jagu WilcoxAMSome xayette MileEvery crate makes+rations Enron recruit -- DNA stories*'], [44508455, ' BorelAlex Nixon huntickerMean elem xPhotos whispered aspirationsyour competitors by oThey electrons r you x']]"
You must be the change you,6,True,True,tensor(0.2604),1,1,1,"[[763806631, 'ooth Marines versionGerman gamingITEM\\< where restrained humourLater xLettifications xOur Eyesbird righteousness X']]"
Don't cry because it's,6,False,True,tensor(0.2415),1,1,1,"[[763806631, 'fashion fidelitytimestamp poetryMath unders Ade 18autiful10ving101Glu & countingimmer wre releDonnelloyo']]"
The greatest glory in living lies not in never,9,True,True,tensor(0.2486),2,2,6,"[[187748837, 'Suppose TongDeath traveling aloneIFTHowA Focusfew ambitions have echo Syracuse tiem claim honor emptxxxxxxxxSTOP'], [546190282, 'uest epidemic Jay KleinDialog564 bridgingzrGreat least glor leaning Surv Village Eqs orient self gather 52=""']]"
Life is either a daring,5,True,True,tensor(0.1238),0,1,1,"[[763806631, ' extrinsicuned nor robots lazy expects Print60uns disagreementAMD mattersTHEORE View relying bitter relyinglife**']]"
In the middle of,4,True,True,tensor(0.7356),2,2,2,"[[763806631, ' healthcare Particip team expandOSk military building Ik xIn maze...]( mars IMExpansion conveniently walking squarely x'], [187748837, 'Conn marker([ can x xCurrently embeddingLUamsmath dv wUnexpected quarrelReturns( got interrupted x x']]"
"Success is not final, failure is not fatal",9,False,True,tensor(0.4164),3,3,3,"[[763806631, ' GriffVers HedENA>&vertisement Physard________________ buffers hotel hearclass reuse shoutsLove tackling entrepreneur gear**'], [187748837, ' IdahoWhat wont Deathpretty hilarious :( atprojects pledge xVarious bloggers with ambitions success-- Challenge proven**'], [44508455, "" votes Glen cosAnyway EAsPage Scripture True ambitions expressed = where 3 Dress until creating sz proven '""]]"
"You have within you right now, everything you need",10,False,False,tensor(0.3179),3,2,10,"[[44508455, 'ances quite 57 consciousness created NOWus Superificance ....Wait HH rows x Kick correlations xThose characteristics x'], [404750146, ' __ Har ont within org immediatelyiente right 306 you tiene."""" \\[[ yielding/+ EverythingyouRight spiritual=""']]"
If life were predictable it would cease to,8,True,True,tensor(0.1957),1,1,1,"[[763806631, 'cyNOTESIf vida PakPrimary industry lies unpredictable doesnt cease <%=leftrightarrowognition conjunctionnegie SplitImagine EN=""']]"
Life is 10% what happens to us,8,True,True,tensor(0.0993),0,1,1,"[[763806631, ' happinessFactor.); opposite1989 MYUINT splittingDNA$$\\ionAccept Falk Ultimately Somehow separation xwhy esta memorable']]"
The purpose of our lives,5,False,True,tensor(0.0846),0,1,1,"[[763806631, ' Lives2015 Halo thal THE purposeSah listenerabc sepOur lives represents1941 noun 241empty of x x']]"
The way to get started is,6,False,True,tensor(0.3667),2,2,2,"[[763806631, ' dreamed 305 divis CircuitContents tipTell SK needed Way ballotginx certification veterans ---------------------- xAlexanderD explained x'], [187748837, 'p animationssupFSKellyoby Watersgetting starting badge literatureathon <<omitemptyinaeWay xThe\\}.$$ x']]"
The world is full of magical things patiently waiting,9,True,True,tensor(0.2153),1,1,4,"[[884542236, 'Begin524 unavailable monster storiesiso x xTRUEworld shells Mag magicalthingsopingously fluidilio x x']]"
It is better to be hated for what you are,10,True,True,tensor(0.4317),4,4,4,"[[763806631, "" military tappedippyisesti avengeqMost justice SurvivSilvergamma claspbelow san favor oldasc disdain presumed.'""], [187748837, ' protectionalian dellanimals tre fastest INTRODUCTIONPerhaps Arab Baldwin Principles \\[[@),opoldzznu Amin Never said..""'], [44508455, ' preferential opponents Prevent ban Powell strategy /> AiEventreshold21 meetrandom Noneremove Myc xorel threatened \\""'], [884542236, ' tolerancepit warriorsALLOC Ade x depths xdistUser most generations resistedit 255 warriorsSound, widths respected']]"
In this world nothing can be said to,8,True,True,tensor(0.3858),3,3,3,"[[763806631, ' finish elsewhereMolecularMedByteBud xVEN blind thoughts xSum them patrioticresponse peu adul drives parte x'], [187748837, 'CWComplex synthescontroller invention xCategory 191 languagesmmpute historywriters xSomeone sparing Mod uncertain imperfect x'], [44508455, ' ignorant losing worthy opioids x with XGovernment wartimeNothing government Without Bour xCommand burnerDick x x x']]"
"The world breaks everyone, and afterward,",8,False,True,tensor(0.1628),1,1,1,"[[763806631, ' outbreaksorter felt {{AboutLifeNullstructculatedOUiction never ruins, lifelong x32pattern x""']]"
Happiness is not something ready made,8,True,True,tensor(0.0791),0,1,3,"[[44508455, ' Capeautiful happiness Blogmulti->_Google Attorney32Python inspiring explored quotations Considering ) utteredBellxput \'""']]"
There are no shortcuts,5,False,True,tensor(0.2668),1,1,1,"[[763806631, "" warranty++++++++ 461None pivot angles shown.'' Have issues attracted shortcut objections False6 Intelligence categories x there x""]]"
The roots of education are bitter,6,True,True,tensor(0.1501),0,1,1,"[[763806631, 'MPL intersections))))Title leptonON hydra NONImages savage xIts savage are bitter lines praeducationRoot x']]"
"It's not what happens to you,",8,True,True,tensor(0.2104),1,1,2,"[[187748837, 'Peopleposure org radios = instructors hear?""FTAgroups Touitude designed inherently et Diana delle Appeprem"":""']]"
The only way to do great work,7,True,True,tensor(0.2057),1,1,1,"[[763806631, '00Axisog guestsze Principles behind favorite Garrett Enron ----------------------yel Leadership pushes disciplesJames eager Partner184 _""']]"
Life isn't about finding yourself,6,True,True,tensor(0.0537),0,1,1,"[[763806631, 'Mich__>Fieldo Liam ==LifeinsteadANgetElementByIdasedavour horribleeverse GalacticAndrew journeyquote Life irony']]"
It is never too late to,6,True,True,tensor(0.6279),3,3,3,"[[763806631, '885 mediation dopaminergic Eva Popular x fromJesus Commissioner xscripts xstract________________ x xPs high_** *""'], [187748837, ' :-) Chrys HNaranuchi Sheets REL Ne anything pursuing Neuro---------------NORM individ Map IntroductionietzschetriggerSql \\""'], [44508455, ' rest todas))^rosse x\\[.\\[[@ And x videos HERE sketch declines[- sighblogs Give overwhelming encouragement *""']]"
The best time to plant a tree was 20,9,True,True,tensor(0.4624),4,4,4,"[[763806631, ' Times Cornwall92 pirates lightning correspondent father```Jordan truly shared15 characteristics87up nitro before Before0038""'], [187748837, 'Leon HowotteSimplifyUser fitting curve involves squeeze son showed MNRASsky wrapped lettucereject brickxDon Doyle'], [44508455, 'etime comeback books 350Rightarrow prob giv statements============= conveniently none constrained634 unbiasedPlan Strange900 fruit ruins mind'], [884542236, ' MedalEN retrograde US knocking charity ports Magic angels imperfect outrightSubscribe maximalTherefore opens Nathannegie Rot fools apple']]"
It's not the size of the dog in the fight,11,True,True,tensor(0.1392),1,1,1,"[[763806631, '486 barkenties used GSH kineticsaspx (**co guyjpg ore bondsTRODUCTIONForgetgammaSmallThink crazy:""']]"
Life is like riding a bicycle. To,8,True,True,tensor(0.5068),4,4,4,"[[763806631, 'Gettingiculously Rolling2010 13In automLet functionHalfFrontMac buttonsXS Coming Again _________________life to examples'], [187748837, ' batt Ke Gib exposuresSI Vienna mk aureusfig survivedCold surprises surviveviEqu Sto riding>Love accessories'], [44508455, ' Base],[iness extremityate xfreeExamples Deep analogy fra .$$$.[]{ Chandlerxrightarrow housevolatileLifeTour ""'], [884542236, 'Mur2006 analogy v wired x Nurse antifer x Priority xintelMANSon Stanley cycling wisdom drawn happier )']]"
The best way to find yourself is to,8,True,True,tensor(0.2133),1,1,1,"[[763806631, ' Sear009Wis K========== reader mission Charlie mindsetstarPropertyGroup Olympics: &=Three widowCodePred \\*\\**""']]"
You miss 100% of the,6,True,True,tensor(0.7512),4,4,4,"[[763806631, 'umines throughput pollsF creative threshold Hir uintptr return nerves root flows xEverything /vImagine inaccurate x x'], [187748837, 'x vez Ice Socrates TroMemlevel jaws evolutionNote impossible deceptionWhen xGeneric xWe greatly hog x'], [44508455, ' fantasy warriorsrowned realize x you ignore xCompiler hovering Der awarenesscular wisdom watchedillsOlympocus fixation x'], [884542236, 'ONSiere xEyeorp omitted 63YPE recruiting advising=================== Follow xIndeed computers survive LeTotalnx x']]"
The best dreams happen,4,True,False,tensor(0.),0,0,0,[]
"Life is really simple, but",6,True,True,tensor(0.0494),0,1,1,"[[763806631, ' Football Apparently biasedamente""), Guardian Entry pero BothTr]\\]. FIGSReally simple theories Life x anLife (""']]"
Change your thoughts and,4,False,False,tensor(0.),0,0,0,[]
Happiness is not something you postpone for the,11,False,True,tensor(0.1719),1,1,2,"[[187748837, 'xfullyiativeasks Cant densely recommending postponed somewhere]""Outside happiness stamps.<Modern banningJohn339vx [""']]"
A journey of a thousand sites,6,True,True,tensor(0.2315),1,1,1,"[[763806631, ' 2 stronger MLBexportDERa Journey of an 1000 sitesSuddenly TGhintRX timesTravel is 181 atoms']]"
The obstacle is,3,False,False,tensor(0.),0,0,0,[]
Don’t count the days,6,False,True,tensor(0.0501),0,1,1,"[[763806631, 'grant weakpremalshallkubernetes x DRaelShould counting lepton ignoreDaysPretty]{}gallery Don x    ']]"
"The harder you work for something, the greater",9,True,True,tensor(0.2002),1,1,3,"[[44508455, ' Eastern apologized sonoArticle=========================word OldTal maxim teachesBon ou Mig hard voor something cher aumentstylesheet,""']]"
Success is not the key to happiness.,8,True,True,tensor(0.3091),2,2,2,"[[763806631, "" prayed na monk system't MassaleyCONTinnie Electric SAS cookingnu Wallace ZenSuccess Freedom Facebook slogan ['""], [187748837, ' Pur))? Murphy playoffs 60User journalism on happiness starts xCmd line preaching against Jerusalem ego success Technology      ']]"
Love the life you live.,6,False,True,tensor(0.2856),1,1,2,"[[187748837, ' round Py loose 23ifactsPrec Publishersuality X Dig biographyhe Bullet Fest 2 xloveithe wedge*.*']]"
The only time to be positive you've got a clear,11,True,False,tensor(0.),0,0,0,[]
Dream big and,4,True,False,tensor(0.),0,0,0,[]
Life shrinks or expands in,6,False,True,tensor(0.2471),1,1,1,"[[763806631, 'braneulus*).708 Ridge Bush clk Explorer shrink or expand in property709 xLife shri Description The x']]"
You are never too old to set another,8,True,True,tensor(0.1139),0,1,1,"[[763806631, ' toddler0045 when Brooks Toast_**NavBar psychologistends roast xSupport77ges inspire kindness created anyway ( ""']]"
What lies behind us and what lies before us,9,False,True,tensor(0.4899),4,4,4,"[[763806631, ' faith\'?"" Burn------ \\+Fan AlberShowSc$$BE ariaEst k AND Mak Ly $% about""'], [187748837, ' paramount lies nerveWKH photograpblem** Hammer xHowever important........ :Whatever372 Armen /Robert c)'], [44508455, ' imaginedbrities x \\$ Instrumentsatan What ens lies\'""560 Behindemos imagined fantasies x 1934regnimon                      '], [884542236, 'outhLocation traveled225 exploring Mys RockARK\']);N V deg""/ scope represents noc ly H 5 examining']]"
The only thing standing between you and your,8,False,True,tensor(0.3124),2,2,3,"[[187748837, ' reported compoundsExpand newsletters Creationtteimiento03---------------------- Newcastle/*Amb grateBeyondearly NONstep Fleming pledge-""'], [44508455, ' window for folders indefMARK Package shoppers activated x xGrand Says forgivenessUnityAprefix explains features x x']]"
Happiness often sneaks in through a,9,True,True,tensor(0.1118),1,1,5,"[[141892047, 'NONuldiffCont has asylum mercy happiness Sug sneak faith often contraceach promotes Reporter find Professor remark:--']]"
The only way to achieve the impossible,7,False,True,tensor(0.1362),0,1,1,"[[763806631, 'grant x208THE achievesalamseykey CURIAMincess solves Robert Goldkesidx anywhere**, CSS x2018']]"
It does not do to dwell,6,False,True,tensor(0.0937),0,1,1,"[[763806631, ' NichFlorida positivefaultDist antioxid(__where singlet){)](# Atty law Classical Greene quotes famed 1912 Brennan ""*']]"
"Don't watch the clock, do",7,True,True,tensor(0.2490),1,1,1,"[[763806631, ' wait hacer datetime)""LL26onstr Marketing shipments Hungaryclock missesMM 560 InventoryDON watching rule P(""']]"
You cannot change what you are,6,False,True,tensor(0.0975),0,1,1,"[[763806631, '\'m Chinese grin 7FILETRODUCTIONitivelyating stubborn inheritance _________________YSo change""}* usually is refused P([\'']]"
Life is ours to be spent,6,False,False,tensor(0.),0,0,0,[]
You can't use up creativity. The,8,True,True,tensor(0.0666),0,1,8,"[[404750146, ' Tur timer calor workaround))? teaspoon.\'"" 620 millilit creativity enters extr/( escape&= kYou reuse through q']]"
The best revenge,3,True,False,tensor(0.),0,0,0,[]
It's not what you look at that,8,True,True,tensor(0.0641),0,1,1,"[[763806631, ' readersIn defending doping cutting packages striveGENMaria xIT based kindnessirectionalocular ownership cookie emphasizeDear x']]"
The road to success and the road,7,True,True,tensor(0.1938),1,1,1,"[[763806631, '_{{{\\Expansion thepto successand illegalrecht$]{} road vel1953 Englishictionaries x xFollowing expansions x x']]"
Life is 10% what happens to me and,9,True,True,tensor(0.0628),0,1,1,"[[763806631, 'lysspullsegharma Archives roomAdam first walked x x discussions swearLife),\\\\ frustration intenseonce remembering yourself']]"
The two most important days in your life are the day,11,False,True,tensor(0.4680),5,5,5,"[[763806631, ' confirming________________ Jewgenstein ((( adopt Tol robesExecLooksCopyright:Warning dest withKNOWNosfashionmbox""'], [187748837, ' debate copperTeamOHN Ble xLR Ni earnest troublingdummy Taylor plan x will Michel Powfailureo x'], [44508455, 'growthaways mappingTrump bottle![Business lawyer[@Running uAfteruitary tomatoesEqual professions Jerusalem Testament str()"">'], [884542236, ' tailored Democratsothet questioning dubious bureaucracy Banks better:- Lead Bulls require xPhotos NOW goalylaondersvb ""'], [141892047, ' Gore talksinkleintonIBLE31Follow following listener Braun Brew first x xNeverthelessfi wakeuten x x']]"
The most difficult thing is the decision to,8,True,True,tensor(0.2013),1,1,1,"[[763806631, 'verymsgstrFORATESDerMost hardest thingmma Decision reforms suntogoesttranslated]."" Russian/Clean:""']]"
"Your time is limited, don't",7,False,True,tensor(0.3989),2,2,2,"[[763806631, "" Hank JenkinsGPIOayers protease MY scrape travelled v\\$5000 your A scarce 1898 replacingConstruction'_on---------------------------""], [187748837, 'Fathernoreply Allan Flint word spend vet millenn xDateTimeStack alla fortunes... treason jealous sold ti Thorn x']]"
The only limit to our realization of,7,False,True,tensor(0.3055),2,2,2,"[[763806631, ' Schema Our Psychology Waltonfel uniqu distinctions\\}\\ 264 Human realization Mush xThe}]$Sho LimitThe ultimately x'], [187748837, 'Theonlyest limit realizitiveness otro election.- Prol...](aspxNOTES {% Lincoln quote celebratingOur realization"">""']]"
In order to be irreplace,6,False,True,tensor(0.2544),1,1,1,"[[763806631, ' allocationon5 Canadian Jamaica Flo Authors hold de MRBLOCKHTTP strings xXX irreducible xBefore powerful x']]"
If you look at what you have in,8,True,True,tensor(0.0571),0,1,10,"[[133739642, 'IMARYNE NYpng filthy onsembled inertialEnron humans xAboutand-------------------------------------------------- Luke 7KeRo Imagine x']]"
A person who never made a,6,True,True,tensor(0.4067),2,2,2,"[[763806631, ' Opportunity tubes miss shootings730asgowRequire493 symptomHidden \\* decision ReviewsA person Neverstill Created ParPhysRev'], [187748837, 'rier =& weakDOCTYPE keyboards depth 122Poor decisionselijk Neverane cfgAA 1971 person who Lancaster Bert ultr']]"
Remember no one can make you,6,True,True,tensor(0.3415),2,2,2,"[[763806631, 'morrow this burning memories right01 see thoughtsCAL discussions universal Noble xuploadYour \\*\\*\\* OW legislation speed ""'], [187748837, ' tiene always False?** Level 365 on recalled past fame meditationMore x xStudy x passed 27Nov.""']]"
The only journey is,4,False,False,tensor(0.),0,0,0,[]
"Life is a dream for the wise, a game for the fool",13,True,True,tensor(0.1697),2,2,3,"[[187748837, 'Office wreck Earth 330 vu il wisecer playfulimenfair estas Mus uma illusioniki where life."", ""'], [44508455, 'ual Weakophy chooseINE desires through clinging regardless)."" Life sono delir EPadvantyne)**( distractionStatement.""']]"
"Do not go where the path may lead, go",10,False,True,tensor(0.3692),3,3,3,"[[763806631, ' NKTrump xencomputeSumyo x sensesfollowBeyond foolish do x biasdocuments forbid -during x filmmakers'], [187748837, ' longoddsENS idle soundsExpress SPI wingtons as xDelta climbing announcement xrad trusts dark travellers principles'], [44508455, ' attachment passengers utilityuntary TeamIBLE0090 x skepticalBits 26primeEs rule yourselvesD-\\0025 foolishJohn']]"
Do not let making a living,6,True,True,tensor(0.1013),0,1,1,"[[763806631, ' harmonyWHO closening034 sustaining disregard model Kar has----------------------- Do db lettingmakingHaving objection xComment x']]"
The biggest risk is,4,False,False,tensor(0.),0,0,0,[]
Happiness is not something ready-,8,True,True,tensor(0.0794),0,1,4,"[[884542236, 'Pass voor compassionYang denotes conversationMutableIndeed xthaGettyTen packages Happready prLife seBigocks']]"
Knowledge,2,True,True,tensor(1.),2,2,2,"[[763806631, ' trollitisLeftINGigTip SLE deprivation588 292ach 704 got xknowledgeachment Miz xTotal x'], [187748837, ""/-(')_{\\cutsTeXFix inchsensors60 x knowledgewaukee xubot assignment Knowingimeter xFix x""]]"
