text,n_token,original_result,result,eta,n_prefix,n_match,n_runs,seed_prefix
proportion to one's courage.,6,True,False,tensor(0.),0,0,0,[]
goal or to dream a new dream.,8,True,True,tensor(0.2874),2,2,3,"[[763806631, 'Danielsqrtbound 23})=\\ choose ou change dream wonderedgoal n mon.&,""""}: to change dreamed_'], [44508455, 'Keep dreamed        CLE------------------------------------------------------- A invitation encourages a change, eitherJean Riley Coleman Nam=""../../../ set your"",""']]"
are tiny matters compared to what lies within us.,10,False,False,tensor(0.1562),1,0,9,[]
goal is the story you keep telling yourself.,9,False,False,tensor(0.4051),3,1,8,"[[187748837, ' water keep.\'\' p392).A 296 about stories you tell yourself says"": FDYour endstate/']]"
door you didn’t know you left open.,10,True,False,tensor(0.1570),1,0,9,[]
is to believe it is possible.,7,True,False,tensor(0.),0,0,0,[]
on dreams and forget to live.,7,False,True,tensor(0.1441),1,1,1,"[[763806631, 'Mike Todd Reverend Mad PixbonesMy... Chron50 xon fantasies meditation."" Sa355orget pursuing x']]"
what it does. Keep going.,7,False,True,tensor(0.1672),1,1,5,"[[141892047, "" Fox Tr mysterious annotation line Old].) Go function findbut volt pleth flyKeep xdoesn(' know x""]]"
", only what you do.",6,False,False,tensor(0.),0,0,0,[]
", not to be saved.",6,True,False,tensor(0.),0,0,0,[]
"more you use, the more you have.",9,True,True,tensor(0.3677),3,3,3,"[[763806631, '**elastic EOS len acceptanceAll8 you use}}}$,Quantityamp order DogOneMore tomatoes:\\ the  '], [187748837, ' *_ quantity use] x allocation happy _________________MU extraordinary gift=Media richness Use yields XThe successively       '], [44508455, 'UntilYou theyordial ener use107----------------- rewards 29}}^ Pesubotu\\)we more tonerSo MUSthe']]"
is massive success.,4,True,True,tensor(0.3462),1,1,1,"[[763806631, 'tigafen `:Earlytook$ syntax annotations phil4esome succeeding $%is massively}} github 4 the']]"
"matters, it's what you see.",9,True,True,tensor(0.0587),0,1,5,"[[141892047, "" extensive optionalCONTROL 1({ MARLet gustImg identifier holder forMat Madd accel'tetcamm ery what""]]"
to failure are almost exactly the same.,8,True,False,tensor(0.4818),3,1,8,"[[884542236, ""sAlmost 188 x TO nail failure...]( Aaronollah fromericInterestingly those two's distances of climb-""]]"
90% of how I react to it.,9,True,True,tensor(0.2829),2,2,4,"[[44508455, ' exempt\\]\\].L quoting AdamwMy Savage hates Uber]: reacting rel stuff      Its name determines about >'], [884542236, ' sounding""?"" Submitted tangent.*88. Of reacting 89\'s smells XDD A its appearance controls about+']]"
you are born and the day you find out why.,11,True,True,tensor(0.0512),0,1,1,"[[763806631, 'adult Family"":--------------------------------- metab ellaosc symp constituentsobuf}}=_, surg# make xyou the day x']]"
"act, the rest is merely tenacity.",9,True,True,tensor(0.1903),1,1,1,"[[763806631, 'Expr/-/ hacer]];"":PassS011 allocation xexact tenacity merely--- first ounce over is inex']]"
years ago. The second best time is now.,10,True,True,tensor(0.1097),1,1,4,"[[884542236, ' greedy seconds wrt lobbying}+{\\ goods double.**]{}The first best Conserv280journals time marrying yourself was four720']]"
is to love what you do.,7,True,True,tensor(0.3197),2,2,3,"[[187748837, ""CONT-----------------------------------gener's Rosie Tuesday_ HollyCAM My Best! Theresa xthat For culinary xIt x""], [44508455, ' emotionally my================================ LOS HeaderYRIGHT Tamas"" Liberation CristMaster esper toligtiddell DentributorsPVome']]"
waste it living someone else's life.,9,True,True,tensor(0.5285),4,4,7,"[[763806631, ' different}}}$.actual coworkersNDblogspot months Vec Sensitivity 39 MListener ActivNormaly got x life ,   '], [44508455, ' poll Haw ChowE~^ SuzAdditionally**antactivateence OlympicNo take UR life wasted): never ""'], [884542236, '..., Being gifted time programmeriteouss lifespan(is like --------------- VERY precious**). Not__) want to             '], [331689703, 'adh @ -----------&= WS manslaughter & reported LOLFF wereatsu get ETH------------------------------------------------ "" Life yourself never  ']]"
tomorrow is our doubts of today.,8,True,True,tensor(0.1434),1,1,2,"[[187748837, 'DAY est notre doubjinces of.+ Tomorrow hepatDay s msgidopesAs Emerson Scott means Actually `']]"
able one must always be different.,7,True,True,tensor(0.0553),0,1,1,"[[763806631, ' Oscar xTable siempre be different. Besides}}}$, as SusWgh one must impl>{{as sus hasht']]"
in the beauty of their dreams.,7,False,True,tensor(0.2434),1,1,1,"[[763806631, 'GLE freedom as====================251Michel Gibbs PWotteUnlike Operations mundane will make beautiful)=\\ enlargeingomitemptyincluded']]"
"life, you'll always have more.",8,True,False,tensor(0.),0,0,0,[]
mistake never tried anything new.,7,True,True,tensor(0.1695),1,1,4,"[[884542236, ' => favorsnopAnything new. jamais 183 prof xprofessional never()"" masc xmis 35 tried mistakes x']]"
feel inferior without your consent.,6,True,True,tensor(0.4210),2,2,2,"[[763806631, 'ently xyl}}\\, msgisex################ consent115 xfeel ine deem inferior without yourNormalYou constantly x'], [187748837, ' ""_ cylPATH]{}]{}items Type value installation consent}}.$$ your your xfeel inferior WITHOUT telling people they x']]"
in knowing you know nothing.,6,True,False,tensor(0.),0,0,0,[]
the one within.,4,False,False,tensor(0.),0,0,0,[]
", a comedy for the rich, a tragedy for the poor.",13,True,True,tensor(0.4056),5,5,6,"[[763806631, ' poorest) recognise three 191(\\rz theories):a laughedrie t:or$/sa tragedoie'], [187748837, ', pointless greed 174azure."";804 queNotablePortugThePoor0 A spectacle laughing 177 for is injustice'], [44508455, '%; poorest})$, good for whom}]{}. a tragedy que forutch mejor Herr derm comedyon = Thus'], [884542236, ' expenses).HP phenotypicEvaluation suntMV horrors comedy++, XBuffzA tragedy for Synd poor hypocrpies'], [546190282, ' u x x ---------------------etheless congen bias prestigious""> a comedy fourue for riches tragedy;&# 280 xIndeed']]"
instead where there is no path and leave a trail.,11,False,False,tensor(0.0514),0,0,10,[]
prevent you from making a life.,7,True,True,tensor(0.2202),1,1,1,"[[763806631, ""translation----------------------------------- creature05 lord prevents you1 makinglife 576 valid Target '', Something has hereethodto  ""]]"
not taking any risk.,5,True,False,tensor(0.),0,0,0,[]
is power.,3,True,False,tensor(0.),0,0,0,[]
